pc1,pc2,device,label
-3.0592244,2.2835658,R,0
-5.030602,2.5544112,R,0
3.915217,1.8614141,R,0
3.371327,-0.45144084,S,0
-3.2686589,2.5573847,R,0
0.77555007,2.3566725,R,0
0.0048384494,1.2756557,R,0
1.3454802,2.077359,S,0
-5.226581,2.0926762,S,1
-0.6596336,1.5579281,S,1
-5.374083,2.4204907,S,1
-2.7026732,2.3238926,S,1
-1.785462,2.4987383,S,0
-2.5077834,1.3528966,R,1
-1.2081931,2.2525785,S,0
-3.6632142,2.8091433,R,1
0.16171399,2.1504548,S,1
1.2861193,1.0351316,R,1
-4.52815,1.5023094,R,0
-2.104831,-0.90538615,R,1
-2.1531167,2.0010357,R,0
-4.4167094,0.50895715,R,0
-2.4336896,1.0097964,R,0
-3.7067761,1.9404556,S,0
-4.935377,1.275329,R,0
3.82947,1.9683619,R,0
-0.76147825,0.70846575,R,0
-0.23022121,2.322689,S,0
-1.1697506,1.8308145,R,1
2.5319412,2.136893,S,1
-5.470515,0.99057937,R,0
-2.058707,1.6790296,S,0
-1.0912995,1.634856,R,0
-4.297002,0.817249,R,0
-1.2400194,2.4176683,S,1
-4.2677445,1.6467804,R,1
3.644797,1.5981303,R,1
-3.6532948,2.7568872,R,0
-3.6053216,1.1971213,S,0
3.996606,1.8262604,R,1
-1.5460364,1.2791965,S,0
-3.7530897,3.245358,S,0
-1.3548348,0.6268915,R,1
2.304318,2.0514588,S,0
-4.0447125,1.958938,R,1
-4.5733232,2.837729,S,0
1.3860997,1.9127731,S,1
-3.6582668,3.2309923,S,1
-2.583276,-0.17698988,R,1
3.923879,1.784612,R,1
-1.8944539,1.9845128,S,0
-0.96683997,2.4299684,S,0
-4.016438,2.6616237,R,1
3.4076235,1.2382495,R,1
4.0292635,1.9368924,R,1
2.8050585,2.1761532,S,1
-1.6793371,1.9768863,S,0
0.5328518,2.1138375,S,1
-3.344951,2.5542362,S,1
-5.2134223,2.070667,S,1
-1.1386104,1.7769095,S,0
3.2018576,1.2409148,R,0
-5.386155,2.1483505,S,1
-2.176862,2.320866,S,0
3.8130739,1.8426762,R,0
-3.4941888,1.4252154,R,0
2.4795148,1.9610026,S,0
-5.0355515,2.300841,S,0
-0.81481576,1.8734069,S,1
0.11812644,2.2036824,S,0
0.4006372,0.90324104,R,0
-3.9583712,2.8073084,R,1
-3.8124056,1.3179456,R,0
-3.4870105,2.084423,R,0
-2.1870592,-0.19770242,R,0
2.4248297,1.748358,R,1
-1.4077064,0.5416088,R,0
1.4961821,0.95655954,R,1
-4.0965214,2.5513074,R,0
-4.841738,1.4541452,R,1
4.055464,1.8995054,R,1
-0.1717336,1.987026,S,0
4.0463333,1.8395759,R,0
3.362397,1.6754575,R,0
2.7467532,2.0233142,S,1
-5.0675836,1.7057505,S,1
-3.369492,1.02425,R,0
-3.863895,2.0236845,R,1
-4.3809133,2.041999,S,0
4.023511,1.8868428,R,0
4.173231,0.33709863,R,0
2.9648006,-1.5140926,S,1
-1.2294121,-0.43357584,R,0
3.2111638,-1.2739438,S,1
3.0064635,0.27612776,R,1
1.1554644,-1.4511117,S,1
-2.7021604,-0.2972429,R,0
1.9765127,-1.7216774,S,1
2.76418,-1.5179049,S,1
3.1789515,0.27068403,R,1
0.3863847,-1.5543702,S,0
-1.7152218,-0.14865164,R,0
-3.05768,-1.2440078,S,0
3.9084227,0.2469116,R,1
0.7393944,-2.0868301,S,0
4.0225987,0.46423838,R,0
-0.87177783,-1.5801942,S,0
3.4412198,0.42631915,R,1
3.2062995,-1.5669488,S,1
3.8254802,-0.13163154,R,0
1.4925245,-3.3352556,S,0
4.0113997,0.39498785,R,1
-4.1435738,0.9696325,S,0
2.9025514,-1.7256035,S,1
3.7882879,0.63851345,R,1
1.9667335,0.2307399,R,0
-1.2082299,-0.745428,R,0
2.7885365,-1.7189912,S,1
3.424687,-0.9788231,S,0
-1.2516364,-5.017292,S,0
-1.0506562,-3.4028792,S,1
3.7885587,0.37432238,R,1
4.151553,0.67893034,R,0
0.8783221,0.31741226,S,1
-2.9360156,-0.3028855,S,1
0.52267057,1.5844631,R,0
2.4489872,2.7178144,R,1
-1.4332596,1.8392103,R,1
0.85215586,-0.12612718,S,1
3.3215175,2.2654698,R,0
-1.0237712,-0.73488575,S,0
1.1348507,2.6828997,R,0
-5.2806196,1.247649,S,0
3.1544256,2.6019123,R,0
3.304124,2.273686,R,0
0.6834325,1.6615136,R,0
-3.702857,1.6096265,R,0
1.2563813,0.9539156,S,1
2.0915709,-0.56796294,S,0
-3.6228116,-0.6631232,S,1
-0.17482513,2.3475397,R,0
-3.167716,0.6326773,S,0
3.582114,2.3544626,R,1
-4.453427,1.2424778,S,0
-4.3471727,1.5433785,S,1
2.770096,2.1413796,R,1
1.8415433,0.05122871,S,1
-0.2660027,1.4834458,R,0
-0.32335225,1.2894787,R,0
-3.9501946,1.4447507,S,0
-5.4364715,1.1971439,S,0
-2.963129,-0.2585424,S,1
-0.67332304,2.2488708,R,0
-4.719154,0.3167746,S,1
2.2551594,0.25174716,S,1
-0.6886159,1.2816656,R,0
-0.72743976,0.29304555,S,1
2.1079776,2.728321,R,1
-0.99049705,1.1752017,R,0
2.3419757,-0.11198361,S,1
1.9616021,2.3225276,R,1
0.8116969,0.5794986,S,1
0.99980724,2.2977414,R,0
-1.3087773,0.5928207,S,1
0.13067016,0.75394034,S,0
2.4312882,0.67872745,R,1
2.052164,0.7060673,S,0
-1.9860902,-0.23249532,R,1
-4.1981196,0.31037733,S,1
2.0382369,0.018916596,R,1
4.0567656,0.90835726,R,0
-0.6208144,1.0893809,S,1
1.7257864,-0.025855126,R,1
-1.4338078,0.91802436,S,1
2.9194732,0.74307626,S,0
1.2520181,0.07788407,R,0
-1.2090026,1.600243,S,1
3.7216952,1.1269884,R,1
3.911124,0.8813116,R,1
-2.0372922,1.4923581,S,1
3.6251626,0.90243465,R,1
0.5414851,-0.25287503,R,0
-0.37375242,1.4693824,S,1
2.3252957,0.8623255,S,1
-4.06051,0.3018703,R,1
3.359103,0.5725373,R,1
-1.2790705,0.38900647,S,0
-1.6736798,-0.3349647,S,0
0.36674455,1.2817189,S,1
0.60374665,0.2575279,R,0
-3.823508,0.61742204,R,0
2.3640366,1.237712,R,1
3.7443957,0.89380604,R,0
-4.5542784,2.3281696,S,0
4.0255613,0.79418755,R,1
-3.6293013,-0.033067092,S,1
-2.9559846,0.094349965,S,1
3.8489175,0.4061708,R,1
-2.3008966,-1.0871847,S,1
-0.67968565,1.2659189,S,1
4.120079,0.8690173,R,1
-3.4270885,0.027640002,S,1
1.8057817,0.5467991,R,1
-1.107104,0.3618972,S,1
-2.0448723,1.3588077,S,1
2.5477042,0.46786425,R,0
-2.488797,-0.08895639,R,1
2.0231965,1.201788,R,1
-0.5099009,-0.1695461,R,0
-3.805197,2.4319184,R,0
2.8708243,-1.383093,S,0
2.1079402,-2.3721976,S,0
-2.5210476,1.8587015,S,0
-2.4750721,1.4613085,S,0
2.28275,-1.7858543,S,1
2.4922445,-1.7225281,S,1
3.1211097,-1.2562354,S,1
4.015386,-0.044553947,R,1
-5.2342634,-1.6390933,R,0
-2.5168507,-1.5542498,S,0
2.6820128,-1.268741,S,0
0.8401406,-1.5450926,S,0
-2.5355806,0.23848869,S,0
0.50968593,-0.34840044,R,1
0.6854892,-0.4513658,S,1
3.1368282,-1.1857513,S,1
-4.8792744,-0.4099714,R,1
3.8970428,0.2932964,R,1
-1.9663963,-0.67486966,R,0
2.803922,-0.43600476,R,0
2.7966228,-1.1015389,S,1
3.4073749,0.23942514,R,0
4.229442,1.104256,R,0
-2.4914026,-1.3973722,S,0
3.7081316,0.052094813,R,1
-0.39194158,-0.7698213,R,0
1.5131923,-0.25205556,S,0
2.1671002,-1.0741501,S,0
3.941286,0.5530396,R,1
-2.6626797,0.063777864,R,1
-3.2208176,0.6618767,S,1
-4.1109242,1.0418534,S,1
-0.31555519,0.3551867,R,1
2.7497675,-1.4814416,S,1
-1.4330847,-1.4709814,R,0
-0.25417367,-0.33488467,S,0
-0.34573036,-0.45138642,R,0
0.73386854,-2.4423747,S,1
-3.496338,-0.73832166,S,1
0.21873376,1.0116938,R,1
3.8209035,0.3171309,R,1
4.109336,0.4133917,R,0
0.13218169,-1.4631926,S,0
3.7629323,0.0910569,R,0
-1.823694,-1.3712234,R,0
0.47599664,-1.6379744,S,0
3.9065776,0.26918888,R,0
3.557414,-0.16637684,R,0
2.5599563,-1.0389589,S,0
3.9374576,0.9709495,R,0
3.1727548,-1.0707965,S,0
2.4486134,-0.8015477,S,1
3.2069373,0.5372991,R,1
1.3898408,-0.44219577,R,1
-2.6379158,-1.2176248,R,0
-1.7692437,-0.5440356,R,0
-1.7692689,-1.8075987,R,1
2.916082,-1.2836348,S,1
3.0930843,-1.3756932,S,1
0.8000327,-1.4249383,S,1
-0.6437087,0.97232956,S,0
0.24271433,-0.106985874,R,1
3.015845,-1.2933391,S,1
-2.2017307,-0.3061168,R,1
0.4942355,-0.55034214,R,0
-0.46679392,-0.30096644,S,0
2.546462,-1.261245,S,0
0.9579386,-1.2644203,S,0
-3.0383804,0.05229806,R,0
-1.3528637,-0.34653708,S,1
2.511891,-0.94162714,S,0
3.548433,0.19200529,R,0
-2.8276885,2.354938,R,0
-1.5756857,-0.6970692,S,0
0.526508,-0.40772805,R,1
3.1624742,-1.0507318,S,1
-0.590263,-1.3892707,S,0
2.0272384,-0.9481965,S,0
1.8195161,-0.925972,S,1
0.50026196,-0.64752334,S,1
-1.4118044,-1.2182018,S,0
0.24606863,-2.0862339,S,0
1.965943,-2.031795,S,1
2.3473613,0.18203355,R,0
-0.38867754,-1.637242,S,0
-2.9076154,-0.13968807,S,1
-3.3744247,-0.37090418,S,1
-1.7222787,-0.6005873,S,1
-1.9973383,-1.3641917,S,0
0.9466488,1.5843428,R,0
3.92064,1.629935,R,1
0.9063899,-3.0394406,S,0
2.1067624,-2.836068,S,1
4.1988497,0.7000328,R,0
-2.089143,-1.1415945,S,0
3.7821922,1.1569965,R,1
3.4123554,1.515949,R,1
-2.3820977,-1.6329753,S,1
-2.4857798,-0.8743365,S,1
-0.5817132,-0.045197096,S,0
-1.6178312,-0.7430406,S,1
1.0769751,-2.2787569,S,0
0.15660125,1.2250018,R,1
1.9673761,-2.533957,S,1
1.2291756,0.0415758,R,0
1.4277107,0.3887549,R,1
4.270715,1.0024449,R,0
4.0021434,0.84848726,R,1
-2.4291363,-0.5926342,S,0
4.015209,1.0573738,R,1
-1.0682887,-1.170199,S,1
4.116097,1.3457887,R,1
-2.1035416,-1.7815742,S,1
2.1399133,-1.864756,S,0
-2.1633825,-0.044588797,S,0
1.056163,-1.4229511,S,1
-1.909427,0.07950938,S,1
-0.14072888,-1.794803,S,1
2.9072182,0.75113535,R,0
-2.9296663,0.14268018,S,1
4.3378806,1.1608539,R,0
-1.7537934,-1.5360171,S,0
1.6860392,0.33013037,R,1
2.5963466,-2.2931945,S,0
4.244198,1.0659845,R,1
2.6517298,1.3841666,R,0
0.6178065,1.5171613,R,1
2.834039,0.4056483,R,0
4.249538,1.2851864,R,1
-3.1577811,0.38653663,S,1
4.112961,0.76744986,R,1
2.4927487,-2.1861706,S,1
3.8820832,0.9894731,R,1
-3.1814737,-0.07271194,S,1
-0.99463654,-0.9752684,S,1
-3.0172544,-0.98941904,S,1
0.37189624,-2.5699766,S,1
3.7759044,0.890578,R,1
0.9547819,-1.2702805,S,1
-1.0172361,-0.6060187,S,1
4.111,1.1221138,R,1
3.8662603,1.1003228,R,1
0.9064252,0.57309645,R,0
4.1576347,0.7669308,R,0
-0.31393537,-0.80181116,S,1
3.9359212,1.0876623,R,1
0.92667186,1.7650774,R,1
-1.5519749,-0.7241272,S,1
1.9141659,-2.3879163,S,1
3.8596375,0.83190393,R,0
3.7958765,1.0625342,R,1
-1.717613,-2.3903718,S,0
3.3723273,0.55423975,R,0
2.4890873,-2.2064157,S,0
4.056475,1.1119152,R,0
-1.9319623,-0.2945322,R,1
2.2692592,0.05328779,R,0
1.2068763,-2.9328542,S,1
2.4646575,-2.4528072,S,1
2.2437475,0.5731064,R,1
4.2129164,0.6809368,R,1
2.4559324,-2.0107296,S,1
-2.4354863,-2.094018,S,0
1.1303407,0.4202707,R,0
-2.8791497,-2.3007195,S,0
4.1575613,0.7808913,R,1
2.323909,-2.667203,S,1
2.459626,0.88477606,R,1
4.0160255,1.1013222,R,0
3.9925153,1.0652742,R,0
4.089466,1.0087329,R,1
-3.5846872,-2.002166,S,1
-2.9811368,-2.4932117,S,0
4.0762634,0.92960304,R,1
4.2360864,0.7935988,R,1
2.2005196,-2.5823781,S,0
3.9996638,0.71157503,R,1
4.2203026,0.6304036,R,0
1.5473521,-2.8687286,S,0
2.4203625,-2.5904856,S,1
-1.2469192,0.8952228,S,0
-2.1629844,-2.569339,S,0
1.0817404,-2.7616372,S,1
4.06105,1.0140166,R,0
4.090643,1.2302799,R,1
-1.4664967,-2.7594538,S,1
1.9769521,-2.66329,S,1
1.8189436,-2.7935698,S,1
4.191285,0.93154615,R,0
3.9905765,1.1783282,R,1
-0.443156,1.093397,R,0
4.1269455,0.7213298,R,1
2.5043223,-2.5733058,S,1
4.145296,0.9495874,R,1
2.6866713,-2.3375475,S,1
2.6143925,-2.6518521,S,0
2.430377,-2.4982667,S,1
2.952159,0.35329777,R,1
3.8954432,1.2711911,R,0
2.2806513,-2.4982755,S,1
4.021064,1.1693802,R,0
-4.605185,1.3926698,R,0
-5.456597,-1.6918247,S,1
-3.52998,-3.0756137,S,1
3.67324,0.5655662,R,1
-5.2822967,-0.3358171,S,0
-3.6671984,-4.406687,S,1
-3.3707566,-4.921213,S,1
3.8803012,0.39270353,R,1
3.8871741,0.6067365,R,0
