subject_id,anchors,reliable_anchors,reliable_fraction,median_reliable_correlation,max_gap_between_reliable_anchors_sec,alignment_usable,phone_envelope_duration_sec,recorder_envelope_duration_sec,mapping
01,37,19,0.5135135135135135,0.7473137015527898,600.0,False,22258.0,27625.800000000003,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
02,35,35,1.0,0.9629548974948577,600.0,True,21299.2,38220.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
03,37,37,1.0,0.8301041297864121,600.0,True,22258.0,33553.0,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
04,35,34,0.9714285714285714,0.7109732252752475,1200.0,True,21299.2,38469.5,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
05,37,34,0.918918918918919,0.8402968040692245,2400.0,False,22258.0,41409.600000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
06,37,37,1.0,0.8596634047671394,600.0,True,22258.0,37854.4,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
07,63,61,0.9682539682539683,0.6694909301688559,1200.0,True,37749.5,37732.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
08,69,69,1.0,0.8344113221177287,600.0,True,41410.9,41392.600000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
09,65,64,0.9846153846153847,0.7317641760583072,600.0,True,39078.8,39062.5,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
10,68,66,0.9705882352941176,0.8088712190673629,1800.0,True,40780.8,40736.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
13,62,61,0.9838709677419355,0.8428277561518396,1200.0,True,37143.4,37125.4,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
14,67,64,0.9552238805970149,0.8258944197694534,1200.0,True,40429.3,40398.0,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
15,68,68,1.0,0.8368270820711272,600.0,True,40905.600000000006,40876.100000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
16,63,63,1.0,0.7914606663185246,600.0,True,37925.5,37857.6,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
18,70,67,0.9571428571428572,0.6669571943238841,1200.0,True,62744.200000000004,42025.100000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
19,64,62,0.96875,0.6927209864413213,1200.0,True,38182.8,38163.6,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
20,62,62,1.0,0.8971203929097371,600.0,True,37229.5,37213.4,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
21,37,36,0.972972972972973,0.6893900971591546,1200.0,True,22258.0,57342.100000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
26,69,69,1.0,0.9582109519071971,600.0,True,41635.200000000004,41627.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
27,63,61,0.9682539682539683,0.9602454224071794,1200.0,True,37633.3,37603.4,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
28,61,61,1.0,0.8619155839584667,600.0,True,36834.5,36817.3,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
29,61,50,0.819672131147541,0.6594191656947828,4200.0,False,36395.200000000004,36370.9,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
30,81,71,0.8765432098765432,0.8959669318495809,3000.0,False,48538.0,48508.600000000006,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
31,77,77,1.0,0.7701312485917969,600.0,True,45976.0,45961.5,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
32,59,58,0.9830508474576272,0.7187443139124656,1200.0,True,35148.0,35131.700000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
33,65,65,1.0,0.7476269511856124,600.0,True,39170.3,39125.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
34,64,0,0.0,0.0,inf,False,38429.6,40574.0,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
35,64,0,0.0,0.0,inf,False,40592.5,38379.6,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
36,64,64,1.0,0.8671004594220365,600.0,True,38705.700000000004,38691.1,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
37,70,68,0.9714285714285714,0.7807981477726809,1200.0,True,42185.3,42187.200000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
38,93,92,0.989247311827957,0.7995270985026639,600.0,True,55542.600000000006,55524.9,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
39,67,66,0.9850746268656716,0.7719580368440164,600.0,True,40490.3,40424.9,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
40,63,63,1.0,0.7974704609949179,600.0,True,37965.4,37949.5,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
41,59,55,0.9322033898305084,0.6430780791660192,1800.0,True,35648.1,35630.200000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
42,85,64,0.7529411764705882,0.9172264621130783,1200.0,True,51172.700000000004,51163.200000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
43,63,62,0.9841269841269841,0.7094062495740419,1200.0,True,38059.0,38029.4,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
44,65,57,0.8769230769230769,0.7507686702183535,3000.0,False,38846.3,38781.200000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
45,67,67,1.0,0.9337186664619906,600.0,True,40373.3,40320.700000000004,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
46,67,66,0.9850746268656716,0.9255830237799234,1200.0,True,40114.0,40101.8,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
47,61,52,0.8524590163934426,0.8280003993267187,3000.0,False,36375.200000000004,36314.0,piecewise-linear interpolation of reliable recorder-minus-phone lag anchors
