subject_id,positive_logical_windows,negative_logical_windows,excluded_alignment_coverage_windows
01,30,37,67
02,319,319,0
03,130,137,11
04,10,13,3
05,212,168,44
06,183,183,0
07,58,57,1
08,305,318,15
09,300,292,18
10,214,218,22
13,146,164,20
14,214,217,9
15,180,200,26
16,119,113,12
18,139,137,28
19,285,293,28
20,503,503,0
21,87,83,8
26,471,472,19
27,429,443,38
28,179,182,7
29,69,67,26
30,401,316,121
31,118,121,5
32,104,104,0
33,320,335,27
36,135,135,2
37,367,393,34
38,379,374,9
39,389,398,19
40,197,192,7
41,252,258,10
42,342,342,0
43,51,48,11
44,199,178,65
45,416,402,40
46,277,277,0
47,231,171,60
48,397,397,0
49,301,286,47
50,477,520,67
