sample_id,logical_window_id,device,label,spo2_corroborated
058ee4e7d7c81cd0_R,058ee4e7d7c81cd0,R,1,False
058ee4e7d7c81cd0_S,058ee4e7d7c81cd0,S,1,False
059e08994ac8d122_R,059e08994ac8d122,R,1,False
059e08994ac8d122_S,059e08994ac8d122,S,1,False
08ab59f4041e0b1d_R,08ab59f4041e0b1d,R,1,True
08ab59f4041e0b1d_S,08ab59f4041e0b1d,S,1,True
094d89e4727245b6_R,094d89e4727245b6,R,0,True
094d89e4727245b6_S,094d89e4727245b6,S,0,True
0cc7768e810b4412_R,0cc7768e810b4412,R,1,True
0cc7768e810b4412_S,0cc7768e810b4412,S,1,True
102ab9664f3d983f_R,102ab9664f3d983f,R,0,True
102ab9664f3d983f_S,102ab9664f3d983f,S,0,True
1538cccf9514d59f_R,1538cccf9514d59f,R,0,True
1538cccf9514d59f_S,1538cccf9514d59f,S,0,True
1809803da7bd3656_R,1809803da7bd3656,R,0,True
1809803da7bd3656_S,1809803da7bd3656,S,0,True
1844f3f73131d088_R,1844f3f73131d088,R,0,True
1844f3f73131d088_S,1844f3f73131d088,S,0,True
187d0d196c11973b_R,187d0d196c11973b,R,0,True
187d0d196c11973b_S,187d0d196c11973b,S,0,True
1d1ef3d8433dc1df_R,1d1ef3d8433dc1df,R,0,True
1d1ef3d8433dc1df_S,1d1ef3d8433dc1df,S,0,True
2b0d43c5db000c78_R,2b0d43c5db000c78,R,0,True
2b0d43c5db000c78_S,2b0d43c5db000c78,S,0,True
2e9350d79f2226cc_R,2e9350d79f2226cc,R,0,True
2e9350d79f2226cc_S,2e9350d79f2226cc,S,0,True
2eaf0c7245fc6b7d_R,2eaf0c7245fc6b7d,R,1,True
2eaf0c7245fc6b7d_S,2eaf0c7245fc6b7d,S,1,True
2f83fee998c01d93_R,2f83fee998c01d93,R,1,True
2f83fee998c01d93_S,2f83fee998c01d93,S,1,True
2fb738c31423fe66_R,2fb738c31423fe66,R,1,True
2fb738c31423fe66_S,2fb738c31423fe66,S,1,True
34c459e5744c3415_R,34c459e5744c3415,R,1,True
34c459e5744c3415_S,34c459e5744c3415,S,1,True
35cd54224adde154_R,35cd54224adde154,R,0,True
35cd54224adde154_S,35cd54224adde154,S,0,True
3838d5a8ec255b89_R,3838d5a8ec255b89,R,0,True
3838d5a8ec255b89_S,3838d5a8ec255b89,S,0,True
392c93fdb9cc7d51_R,392c93fdb9cc7d51,R,0,True
392c93fdb9cc7d51_S,392c93fdb9cc7d51,S,0,True
3bdff4dd6bf1a728_R,3bdff4dd6bf1a728,R,1,True
3bdff4dd6bf1a728_S,3bdff4dd6bf1a728,S,1,True
3ff41f6638d222f5_R,3ff41f6638d222f5,R,0,True
3ff41f6638d222f5_S,3ff41f6638d222f5,S,0,True
43d742648e37c689_R,43d742648e37c689,R,0,True
43d742648e37c689_S,43d742648e37c689,S,0,True
49e55eee80e0ca38_R,49e55eee80e0ca38,R,0,True
49e55eee80e0ca38_S,49e55eee80e0ca38,S,0,True
