experiment_id,fold,seed,task,train_device,test_device,model_variant,backbone,pooling,window_sec,gpu_id,gpu_name,start_ts,end_ts,git_commit,command,output_dir,exit_status,peak_vram_gb,runtime_sec
device_probe_data2vec_audio_fold0,0,42,device_probe,R+S,R+S,device_classifier_data2vec_audio,data2vec_audio,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_audio --fold 0,paired_physio_device/results/device_probe/data2vec_audio_fold0,complete,,
device_probe_data2vec_audio_fold1,1,42,device_probe,R+S,R+S,device_classifier_data2vec_audio,data2vec_audio,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_audio --fold 1,paired_physio_device/results/device_probe/data2vec_audio_fold1,complete,,
device_probe_data2vec_audio_fold2,2,42,device_probe,R+S,R+S,device_classifier_data2vec_audio,data2vec_audio,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_audio --fold 2,paired_physio_device/results/device_probe/data2vec_audio_fold2,complete,,
device_probe_data2vec_audio_fold3,3,42,device_probe,R+S,R+S,device_classifier_data2vec_audio,data2vec_audio,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_audio --fold 3,paired_physio_device/results/device_probe/data2vec_audio_fold3,complete,,
device_probe_data2vec_audio_fold4,4,42,device_probe,R+S,R+S,device_classifier_data2vec_audio,data2vec_audio,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_audio --fold 4,paired_physio_device/results/device_probe/data2vec_audio_fold4,complete,,
device_probe_data2vec_spectrogram_fold0,0,42,device_probe,R+S,R+S,device_classifier_data2vec_spectrogram,data2vec_spectrogram,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_spectrogram --fold 0,paired_physio_device/results/device_probe/data2vec_spectrogram_fold0,complete,,
device_probe_data2vec_spectrogram_fold1,1,42,device_probe,R+S,R+S,device_classifier_data2vec_spectrogram,data2vec_spectrogram,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_spectrogram --fold 1,paired_physio_device/results/device_probe/data2vec_spectrogram_fold1,complete,,
device_probe_data2vec_spectrogram_fold2,2,42,device_probe,R+S,R+S,device_classifier_data2vec_spectrogram,data2vec_spectrogram,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_spectrogram --fold 2,paired_physio_device/results/device_probe/data2vec_spectrogram_fold2,complete,,
device_probe_data2vec_spectrogram_fold3,3,42,device_probe,R+S,R+S,device_classifier_data2vec_spectrogram,data2vec_spectrogram,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_spectrogram --fold 3,paired_physio_device/results/device_probe/data2vec_spectrogram_fold3,complete,,
device_probe_data2vec_spectrogram_fold4,4,42,device_probe,R+S,R+S,device_classifier_data2vec_spectrogram,data2vec_spectrogram,temporal_mean_cached,,mig24gb_slice,RTX_PRO_6000_Blackwell_MIG_1g.24gb,,,,run_device_probe.py --representation data2vec_spectrogram --fold 4,paired_physio_device/results/device_probe/data2vec_spectrogram_fold4,complete,,
