subject_id,device,source_file,original_sr,channels,format,duration_sec,processed_sr,alignment_status
01,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/01/01_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
01,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/01/01_recorder_1.wav,8000,1,PCM16 mono WAV,11781.568,16000,read_ok
01,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/01/01_recorder_2.wav,8000,1,PCM16 mono WAV,15844.16,16000,read_ok
02,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/02/02_phone.wav,8000,1,PCM16 mono WAV,21299.16,16000,read_ok
02,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/02/02_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
02,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/02/02_recorder_2.wav,8000,1,PCM16 mono WAV,4667.84,16000,read_ok
03,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/03/03_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
04,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/04/04_phone.wav,8000,1,PCM16 mono WAV,21299.16,16000,read_ok
04,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/04/04_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
04,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/04/04_recorder_2.wav,8000,1,PCM16 mono WAV,4916.544,16000,read_ok
05,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/05/05_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
05,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/05/05_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
05,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/05/05_recorder_2.wav,8000,1,PCM16 mono WAV,7856.64,16000,read_ok
06,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/06/06_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
06,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/06/06_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
06,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/06/06_recorder_2.wav,8000,1,PCM16 mono WAV,4301.44,16000,read_ok
07,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/07/07_phone.wav,8000,1,PCM16 mono WAV,37749.44,16000,read_ok
07,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/07/07_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
07,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/07/07_recorder_2.wav,8000,1,PCM16 mono WAV,4179.904,16000,read_ok
08,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/08/08_phone.wav,8000,1,PCM16 mono WAV,41410.88,16000,read_ok
08,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/08/08_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
08,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/08/08_recorder_2.wav,8000,1,PCM16 mono WAV,7839.68,16000,read_ok
09,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/09/09_phone.wav,8000,1,PCM16 mono WAV,39078.72,16000,read_ok
09,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/09/09_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
09,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/09/09_recorder_2.wav,8000,1,PCM16 mono WAV,5509.568,16000,read_ok
10,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/10/10_phone.wav,8000,1,PCM16 mono WAV,40780.8,16000,read_ok
10,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/10/10_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
10,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/10/10_recorder_2.wav,8000,1,PCM16 mono WAV,7183.808,16000,read_ok
11,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/11/11_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
11,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/11/11_recorder_2.wav,8000,1,PCM16 mono WAV,3222.848,16000,read_ok
12,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/12/12_phone.wav,8000,1,PCM16 mono WAV,37573.392,16000,read_ok
13,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/13/13_phone.wav,8000,1,PCM16 mono WAV,37143.384,16000,read_ok
13,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/13/13_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
13,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/13/13_recorder_2.wav,8000,1,PCM16 mono WAV,3572.352,16000,read_ok
14,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/14/14_phone.wav,8000,1,PCM16 mono WAV,40429.28,16000,read_ok
14,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/14/14_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
14,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/14/14_recorder_2.wav,8000,1,PCM16 mono WAV,6845.12,16000,read_ok
15,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/15/15_phone.wav,8000,1,PCM16 mono WAV,40905.6,16000,read_ok
15,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/15/15_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
15,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/15/15_recorder_2.wav,8000,1,PCM16 mono WAV,7323.136,16000,read_ok
16,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/16/16_phone.wav,8000,1,PCM16 mono WAV,37925.472,16000,read_ok
16,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/16/16_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
16,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/16/16_recorder_2.wav,8000,1,PCM16 mono WAV,4304.576,16000,read_ok
17,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/17/17_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
17,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/17/17_recorder_2.wav,8000,1,PCM16 mono WAV,9006.08,16000,read_ok
18,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/18/18_phone.wav,8000,1,PCM16 mono WAV,62744.16,16000,read_ok
18,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/18/18_recorder_1.wav,8000,1,PCM16 mono WAV,33552.832,16000,read_ok
18,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/18/18_recorder_2.wav,8000,1,PCM16 mono WAV,8472.256,16000,read_ok
19,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/19/19_phone.wav,8000,1,PCM16 mono WAV,38182.72,16000,read_ok
19,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/19/19_recorder_1.wav,8000,1,PCM16 mono WAV,0.128,16000,read_ok
19,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/19/19_recorder_2.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
19,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/19/19_recorder_3.wav,8000,1,PCM16 mono WAV,4610.496,16000,read_ok
20,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/20/20_phone.wav,8000,1,PCM16 mono WAV,37229.496,16000,read_ok
20,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/20/20_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
20,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/20/20_recorder_2.wav,8000,1,PCM16 mono WAV,3660.352,16000,read_ok
21,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/21/21_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
21,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/21/21_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
21,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/21/21_recorder_2.wav,8000,1,PCM16 mono WAV,23789.184,16000,read_ok
22,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/22/22_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
23,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/23/23_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
24,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/24/24_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
25,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/25/25_phone.wav,8000,1,PCM16 mono WAV,22257.92,16000,read_ok
26,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/26/26_phone.wav,8000,1,PCM16 mono WAV,41635.2,16000,read_ok
26,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/26/26_recorder_1.wav,8000,1,PCM16 mono WAV,33552.96,16000,read_ok
26,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/26/26_recorder_2.wav,8000,1,PCM16 mono WAV,8074.752,16000,read_ok
27,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/27/27_phone.wav,8000,1,PCM16 mono WAV,37633.28,16000,read_ok
27,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/27/27_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
27,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/27/27_recorder_2.wav,8000,1,PCM16 mono WAV,4050.432,16000,read_ok
28,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/28/28_phone.wav,8000,1,PCM16 mono WAV,36834.432,16000,read_ok
28,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/28/28_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
28,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/28/28_recorder_2.wav,8000,1,PCM16 mono WAV,3264.32,16000,read_ok
29,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/29/29_phone.wav,8000,1,PCM16 mono WAV,36395.2,16000,read_ok
29,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/29/29_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
29,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/29/29_recorder_2.wav,8000,1,PCM16 mono WAV,2817.92,16000,read_ok
30,S,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/30/30_phone.wav,8000,1,PCM16 mono WAV,48537.92,16000,read_ok
30,R,/scratch/pkdas/IEEE_healthcomm_workshop/dataset/V5/Data/30/30_recorder_1.wav,8000,1,PCM16 mono WAV,33552.896,16000,read_ok
