representation,fold,n_train,n_test,n_test_subjects,balanced_accuracy,auroc,subject_level_accuracy_ci95_low,subject_level_accuracy_ci95_high
data2vec_audio,0,31590,8006,9,0.9746440169872596,0.9949501089271731,0.9515279685587956,0.988924624605299
data2vec_audio,1,31616,7980,8,0.9141604010025062,0.9757454098906414,0.8325304097440933,0.9917344785084389
data2vec_audio,2,31664,7932,8,0.9498234997478567,0.9943938505028496,0.9311848081216367,0.9899346571788837
data2vec_audio,3,31656,7940,8,0.9535264483627204,0.9899174539525027,0.9363138744741483,0.9835189931261451
data2vec_audio,4,31858,7738,8,0.877100025846472,0.955263491387393,0.8122698486569379,0.9501454700072612
data2vec_spectrogram,0,31590,8006,9,0.9996252810392205,0.9999997503745786,0.9984963673986564,1.0
data2vec_spectrogram,1,31616,7980,8,0.9903508771929825,0.999385870691767,0.9835929618504878,0.999574475308873
data2vec_spectrogram,2,31664,7932,8,0.9978567826525466,0.9975636645729752,0.9958937882201375,0.9998011664899258
data2vec_spectrogram,3,31656,7940,8,0.991183879093199,0.9997458901458673,0.9860153036707657,0.9994721283783784
data2vec_spectrogram,4,31858,7738,8,0.9961230292065133,0.9999376718574943,0.9939485153611489,0.9990185522398748
hear,0,31590,8006,9,0.9963777167124657,0.9999297304438609,0.991573694502172,0.9987323504153726
hear,1,31616,7980,8,0.9591478696741854,0.9957645994685963,0.9083325304948268,0.9979606673669619
hear,2,31664,7932,8,0.995839636913767,0.999865409180251,0.994546710735782,0.9988296836405093
hear,3,31656,7940,8,0.9866498740554157,0.9989255689713151,0.9826904033164032,0.9989655470914127
hear,4,31858,7738,8,0.9784181959162574,0.9981105821495274,0.9675847992781219,0.9890065490818647
hubert,0,31590,8006,9,0.9942543092680489,0.9998467299912276,0.9889552047075786,0.9982968047020704
hubert,1,31616,7980,8,0.9388471177944862,0.9980197360569343,0.889264792494675,0.9906245030975048
hubert,2,31664,7932,8,0.9795763993948563,0.9983420915909285,0.9560763706031742,0.9922388625578165
hubert,3,31656,7940,8,0.9498740554156171,0.9929137612699782,0.9207533337724664,0.9953536143061026
hubert,4,31858,7738,8,0.9751873869216852,0.9973095352505059,0.9621612237791384,0.9853772433530839
wav2vec2,0,31590,8006,9,0.9942543092680489,0.999262731317737,0.9897474792928753,0.9975631375820362
wav2vec2,1,31616,7980,8,0.962280701754386,0.9956593865616422,0.9388810709259806,0.9932920452137901
wav2vec2,2,31664,7932,8,0.9842410489157842,0.9987619806173961,0.9721648116470271,0.9955722443969667
wav2vec2,3,31656,7940,8,0.9730478589420655,0.9970157478316594,0.9553313281449364,0.9979759780024593
wav2vec2,4,31858,7738,8,0.9667872835357973,0.9934495994798905,0.9345002058859502,0.9920096000424975
wavlm,0,31590,8006,9,0.9912565575818136,0.9991407580961794,0.9863074157030135,0.9932508099200653
wavlm,1,31616,7980,8,0.9488721804511279,0.9852563112040753,0.9160767631934124,0.9894185280943614
wavlm,2,31664,7932,8,0.9776853252647504,0.9974247823595876,0.9540231872576685,0.989961255837885
wavlm,3,31656,7940,8,0.9555415617128463,0.9955882278296291,0.9331339401287012,0.9905610283526747
wavlm,4,31858,7738,8,0.9392607909020418,0.9811511146149074,0.8991921389086203,0.9842153907008138
wavlm_large,0,31590,8006,9,0.9960029977516862,0.9999104468800535,0.9916508398065753,0.9979002912648424
wavlm_large,1,31616,7980,8,0.9958646616541353,0.9996373138359684,0.9934573869416043,0.9996411707800998
wavlm_large,2,31664,7932,8,0.9971003530005043,0.9999759681956234,0.992681905258339,0.9992629571575065
wavlm_large,3,31656,7940,8,0.9870277078085643,0.9991338692587352,0.9791658629471205,0.9996537396121884
wavlm_large,4,31858,7738,8,0.9869475316619282,0.9993344316358145,0.97073873652844,0.9932159866408083
