removed_configuration,metric,full_minus_ablation_difference,ci95_low,ci95_high,subjects
full_minus_data2vec,balanced_accuracy,-0.004520695126737816,-0.014374596674818427,0.005333206421342794,41
full_minus_data2vec,f1,-0.03856183288323672,-0.07999785994230743,0.0028741941758339967,41
full_minus_data2vec_audio,balanced_accuracy,-0.004131145038591046,-0.012629419469931692,0.004367129392749599,41
full_minus_data2vec_audio,f1,-0.021417850728837905,-0.045165658948930286,0.002329957491254475,41
full_minus_data2vec_spectrogram,balanced_accuracy,0.0029561379079599357,-0.006600747361856058,0.01251302317777593,41
full_minus_data2vec_spectrogram,f1,0.0061239172877607245,-0.02652367615378068,0.03877151072930213,41
full_minus_hubert,balanced_accuracy,-0.0012989533069973148,-0.009167414598558226,0.006569507984563596,41
full_minus_hubert,f1,-0.06494139749648783,-0.09102035555078444,-0.03886243944219123,41
full_minus_wav2vec2,balanced_accuracy,0.005064578179297143,-0.002635946157895459,0.012765102516489745,41
full_minus_wav2vec2,f1,0.004825962217375308,-0.014995764290279767,0.024647688725030384,41
full_minus_wavlm,balanced_accuracy,0.004574070771070609,-0.0024117765022956096,0.011559918044436828,41
full_minus_wavlm,f1,0.024191691322628703,0.0028042226731984678,0.04557915997205894,41
