representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_hubert,svm_rbf,R_R,f1,0.5395796927805568,0.5547313729905512,-0.015151680209994356,-0.015079137152518537,0.007157743618588384,-0.030092484423393306,-0.0019670174117185297,0.028,2000,subject,CI excludes zero
full_minus_hubert,svm_rbf,R_R,balanced_accuracy,0.5736975775644076,0.5782914321370939,-0.00459385457268624,-0.004588538870612654,0.003647497478818655,-0.012047537543552027,0.0021874316320146473,0.191,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,R_R,roc_auc,0.6143435658887358,0.626438246494307,-0.012094680605571173,-0.012117662563416882,0.0035979762843177474,-0.019666855696055342,-0.005651212999301603,0.0,2000,subject,CI excludes zero
full_minus_hubert,svm_rbf,R_R,mcc,0.15581062567695877,0.16704888705207727,-0.011238261375118491,-0.01128611417128913,0.007325806309328463,-0.026186792011990638,0.0026501836722572507,0.105,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_S,f1,0.566794525760037,0.5688250341824791,-0.0020305084224421233,-0.0019926310078123622,0.004852917849146544,-0.01173297781971953,0.00768803911756256,0.666,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_S,balanced_accuracy,0.5929244869644473,0.5951806066270218,-0.0022561196625744406,-0.0021996231576759586,0.003060217386324931,-0.008500675041836561,0.003769299741240211,0.478,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_S,roc_auc,0.6361883501586837,0.6426883504015177,-0.0065000002428340364,-0.006405549153077884,0.003235818554982187,-0.012409320785409954,0.00012465303740911328,0.055,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_S,mcc,0.19429642861741894,0.2006036182420121,-0.006307189624593146,-0.006188180549206372,0.00649698952185216,-0.01928365720148568,0.006680284550894571,0.341,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,R_S,f1,0.2626604928662649,0.21178096425358872,0.050879528612676195,0.05044102923104566,0.018525707087088044,0.017669833363435833,0.08923686735234611,0.0,2000,subject,CI excludes zero
full_minus_hubert,svm_rbf,R_S,balanced_accuracy,0.5224271713879549,0.5194993168120328,0.002927854575922151,0.0028406280268407,0.0060527277526856525,-0.009288591936606628,0.014486989951777472,0.631,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,R_S,roc_auc,0.5763491222684619,0.5821216957775239,-0.005772573509062018,-0.005617680295015939,0.007840935977617198,-0.021355100971253753,0.009610500516992452,0.477,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,R_S,mcc,0.04884058618708412,0.032854395348030016,0.0159861908390541,0.015649870514830345,0.015061751239161038,-0.013484846664806227,0.04549448841036627,0.291,2000,subject,CI includes zero
full_minus_hubert,svm_rbf,S_R,f1,0.37928091404292086,0.3002776476626214,0.07900326638029948,0.0789550437351678,0.017953465978396754,0.04312650238914511,0.11500152585603242,0.0,2000,subject,CI excludes zero
full_minus_hubert,svm_rbf,S_R,balanced_accuracy,0.5353003788470414,0.535630326808969,-0.00032994796192764575,-0.00028575494908579025,0.005306832560201199,-0.0106428823832666,0.01013396323695019,0.96,2000,subject,CI includes zero
