representation,classifier,feature_dimension,f1_R_R,f1_S_S,f1_R_S,f1_S_R,f1_gap_R_to_S,f1_gap_S_to_R,f1_mean_matched,f1_mean_cross_device,f1_mean_device_gap,balanced_accuracy_R_R,balanced_accuracy_S_S,balanced_accuracy_R_S,balanced_accuracy_S_R,balanced_accuracy_gap_R_to_S,balanced_accuracy_gap_S_to_R,balanced_accuracy_mean_matched,balanced_accuracy_mean_cross_device,balanced_accuracy_mean_device_gap,roc_auc_R_R,roc_auc_S_S,roc_auc_R_S,roc_auc_S_R,roc_auc_gap_R_to_S,roc_auc_gap_S_to_R,roc_auc_mean_matched,roc_auc_mean_cross_device,roc_auc_mean_device_gap,mcc_R_R,mcc_S_S,mcc_R_S,mcc_S_R,mcc_gap_R_to_S,mcc_gap_S_to_R,mcc_mean_matched,mcc_mean_cross_device,mcc_mean_device_gap,sensitivity_R_R,sensitivity_S_S,sensitivity_R_S,sensitivity_S_R,sensitivity_gap_R_to_S,sensitivity_gap_S_to_R,sensitivity_mean_matched,sensitivity_mean_cross_device,sensitivity_mean_device_gap,specificity_R_R,specificity_S_S,specificity_R_S,specificity_S_R,specificity_gap_R_to_S,specificity_gap_S_to_R,specificity_mean_matched,specificity_mean_cross_device,specificity_mean_device_gap
classical,mlp,52,0.44280255157893045,0.4538258863153829,0.04731807492978749,0.05256449040187562,0.39548447664914294,0.4012613959135073,0.4483142189471567,0.04994128266583156,0.3983729362813251,0.5283454358494114,0.5429262130120123,0.49194446641404505,0.49311608603691737,0.03640096943536636,0.049810126975094904,0.5356358244307118,0.4925302762254812,0.043105548205230604,0.5649684445116787,0.5743541924679295,0.5252754640165522,0.4843539608298932,0.039692980495126484,0.09000023163803633,0.5696613184898041,0.5048147124232227,0.06484660606658132,0.060629532361048843,0.09030156015291364,-0.04213973483834256,-0.03434263458701716,0.1027692671993914,0.1246441947399308,0.07546554625698124,-0.03824118471267986,0.1137067309696611,0.37441556179945956,0.3896109472742211,0.02617428550640479,0.028758012300505648,0.3482412762930548,0.3608529349737154,0.3820132545368403,0.02746614890345522,0.3545471056333851,0.6822753098993631,0.6962414787498036,0.9577146473216855,0.957474159773329,-0.2754393374223224,-0.26123268102352537,0.6892583943245834,0.9575944035475072,-0.2683360092229239
classical,random_forest,52,0.49846437526832554,0.4832482719286255,0.11152003913831039,0.030348998839229608,0.38694433613001517,0.4528992730893959,0.49085632359847553,0.07093451898877,0.4199218046097055,0.5561903649783992,0.5685445419868869,0.5106571395926093,0.500344378862364,0.045533225385789966,0.06820016312452282,0.562367453482643,0.5055007592274867,0.056866694255156336,0.594486242125676,0.6018072533737181,0.5862633323046114,0.5698367525032358,0.008222909821064661,0.031970500870482255,0.5981467477496971,0.5780500424039237,0.020096705345773458,0.11710007452028492,0.1465947255375573,0.04439365383990286,0.0006343348143903929,0.07270642068038206,0.1459603907231669,0.13184740002892112,0.022513994327146628,0.1093334057017745,0.4461382352626727,0.40786073384047483,0.0654561998190518,0.015848166342550162,0.3806820354436209,0.3920125674979247,0.42699948455157377,0.040652183080800985,0.3863473014707728,0.6662424946941256,0.7292283501332989,0.9558580793661667,0.9848405913821783,-0.2896155846720412,-0.2556122412488794,0.6977354224137122,0.9703493353741726,-0.27261391296046034
classical,svm_rbf,52,0.48698838893295626,0.4968920187528044,0.007512529546190136,0.06633552284741531,0.4794758593867661,0.43055649590538914,0.49194020384288034,0.036924026196802726,0.4550161776460776,0.5445205602722573,0.5609554068770584,0.5010601527694499,0.49008457589162935,0.04346040750280733,0.07087083098542901,0.5527379835746578,0.49557236433053964,0.057165619244118115,0.5803348527634118,0.5797292828259971,0.49841363705783676,0.47757158190665533,0.08192121570557503,0.10215770091934179,0.5800320677947044,0.48799260948224604,0.09203945831245836,0.09289697547581564,0.12596355364674405,0.006085086545583949,-0.046835905767001355,0.0868118889302317,0.17279945941374542,0.10943026456127986,-0.020375409610708703,0.12980567417198857,0.4324972435204043,0.43806301020247285,0.003839374307774851,0.04218754575037655,0.42865786921262944,0.3958754644520963,0.4352801268614386,0.023013460029075703,0.41226666683236285,0.6565438770241101,0.6838478035516441,0.9982809312311248,0.937981606032882,-0.3417370542070147,-0.25413380248123796,0.6701958402878772,0.9681312686320034,-0.29793542834412623
classical,xgboost,52,0.5030781775594303,0.46108712455191353,0.043049393001305725,0.05237326890792886,0.46002878455812457,0.40871385564398466,0.48208265105567194,0.04771133095461729,0.43437132010105467,0.555481071351112,0.5503223961813035,0.5032862907071689,0.5001231647430728,0.05219478064394312,0.050199231438230685,0.5529017337662078,0.5017047277251209,0.0511970060410869,0.5893085675001449,0.5851368551089157,0.5742048206752062,0.5537039105618133,0.015103746824938757,0.031432944547102326,0.5872227113045303,0.5639543656185098,0.023268345686020542,0.11510585464890473,0.10672830520078436,0.018263813160907316,0.0031240005531701113,0.09684204148799741,0.10360430464761425,0.11091707992484454,0.010693906857038714,0.10022317306780582,0.4536303274600043,0.3842251148096609,0.023119070705449822,0.028449127165557652,0.4305112567545545,0.35577598764410323,0.41892772113483256,0.025784098935503735,0.39314362219932886,0.6573318152422197,0.716419677552946,0.9834535107088879,0.9717972023205881,-0.32612169546666814,-0.2553775247676421,0.6868757463975829,0.9776253565147379,-0.29074961011715506
data2vec_audio,mlp,768,0.5354040666990969,0.580512174036661,0.4454743656348071,0.4109447549851425,0.08992970106428982,0.1695674190515185,0.557958120367879,0.4282095603099748,0.12974856005790414,0.5445726138585258,0.5788668809937568,0.5356367242070302,0.5231702494929895,0.00893588965149561,0.05569663150076731,0.5617197474261413,0.5294034868500099,0.03231626057613135,0.5737055685877271,0.6220430447591104,0.5622578280105497,0.5396135841224937,0.011447740577177457,0.08242946063661671,0.5978743066734188,0.5509357060665216,0.04693860060689714,0.09082152972458798,0.15868082738692452,0.07546093222678465,0.05065523431596628,0.01536059749780333,0.10802559307095824,0.12475117855575625,0.06305808327137546,0.061693095284380786,0.5327693918483365,0.5856711887985944,0.41333953405093,0.36564203306115617,0.1194298577974065,0.2200291557374382,0.5592202903234654,0.38949078355604305,0.16972950676742238,0.5563758358687154,0.5720625731889191,0.6579339143631303,0.6806984659248229,-0.1015580784944149,-0.1086358927359038,0.5642192045288172,0.6693161901439766,-0.10509698561515934
data2vec_audio,random_forest,768,0.5307145753823679,0.572435186654987,0.45794161101091635,0.3076385870264328,0.07277296437145153,0.26479659962855423,0.5515748810186775,0.38279009901867456,0.1687847820000029,0.554657455127854,0.5759947663539476,0.5281310627495592,0.5208665195080185,0.026526392378294794,0.055128246845929096,0.5653261107409009,0.5244987911287888,0.040827319612112056,0.585951511878269,0.6150658668645985,0.5594829325403102,0.5570197095834019,0.026468579337958764,0.058046157281196664,0.6005086893714338,0.558251321061856,0.042257368309577714,0.11138271101848518,0.15309406874117695,0.057764112888628025,0.051485579322820586,0.053618598129857156,0.10160848941835637,0.13223838987983105,0.05462484610572431,0.07761354377410674,0.510890128709341,0.567840396037077,0.407056480023272,0.21986885394632294,0.10383364868606904,0.3479715420907541,0.539365262373209,0.31346266698479747,0.22590259538841156,0.5984247815463667,0.584149136670818,0.6492056454758466,0.8218641850697141,-0.05078086392947989,-0.23771504839889612,0.5912869591085923,0.7355349152727804,-0.14424795616418806
data2vec_audio,svm_rbf,768,0.528697351780832,0.5641338592785792,0.38050021848449245,0.31814991004151505,0.14819713329633954,0.24598394923706413,0.5464156055297056,0.34932506426300375,0.19709054126670184,0.5570175664386273,0.5827052011516136,0.5285979261366857,0.524438556202348,0.028419640301941662,0.05826664494926559,0.5698613837951205,0.5265182411695168,0.04334314262560368,0.5885712584338524,0.621756472771551,0.560847166839118,0.5455849645003152,0.027724091594734435,0.07617150827123575,0.6051638656027016,0.5532160656697166,0.05194779993298504,0.1165626615306546,0.16653438167710427,0.06385682323720854,0.06038064704928083,0.052705838293446064,0.10615373462782343,0.14154852160387943,0.06211873514324469,0.07942978646063474,0.5020382526309227,0.5395418647695622,0.29621339022750115,0.24168204348196393,0.20582486240342157,0.2978598212875983,0.5207900587002425,0.2689477168547325,0.25184234184551,0.611996880246332,0.6258685375336648,0.7609824620458701,0.807195068922732,-0.14898558179953802,-0.18132653138906718,0.6189327088899984,0.784088765484301,-0.16515605659430255
data2vec_audio,xgboost,768,0.5361350935955953,0.5716398640239341,0.459783600879196,0.29141695842838133,0.0763514927163993,0.28022290559555274,0.5538874788097647,0.37560027965378867,0.17828719915597607,0.5549169429916028,0.581533661222228,0.5313235825527518,0.5107707199491891,0.023593360438850963,0.07076294127303895,0.5682253021069155,0.5210471512509705,0.04717815085594501,0.585177759514153,0.6215973324576162,0.5687519576936225,0.5331194360354967,0.01642580182053044,0.08847789642211945,0.6033875459858846,0.5509356968645596,0.052451849121325056,0.11160971329856213,0.16389911539951982,0.06527671776715463,0.03020964094737653,0.0463329955314075,0.1336894744521433,0.13775441434904098,0.04774317935726558,0.09001123499177541,0.5192879604911518,0.5579290093581653,0.40334779811044763,0.2063359527964149,0.11594016238070415,0.35159305656175033,0.5386084849246585,0.3048418754534313,0.23376660947122724,0.5905459254920535,0.6051383130862911,0.6592993669950559,0.8152054871019633,-0.06875344150300233,-0.2100671740156722,0.5978421192891723,0.7372524270485096,-0.13941030775933727
data2vec_fusion,mlp,1536,0.5303441599339218,0.5724458586073166,0.4022582052751855,0.40616830806921234,0.1280859546587363,0.16627755053810422,0.5513950092706192,0.40421325667219893,0.1471817525984203,0.5667250133711004,0.5932884289322844,0.54610881532876,0.5338986234727616,0.020616198042340383,0.05938980545952277,0.5800067211516924,0.5400037194007608,0.04000300175093163,0.6071975364375818,0.6361262214079659,0.5829911973195041,0.5683668012928533,0.02420633911807768,0.0677594201151126,0.6216618789227739,0.5756789993061787,0.045982879616595196,0.13598129456322075,0.1893660608548345,0.10986807946423391,0.08176157528888152,0.02611321509898684,0.10760448556595299,0.16267367770902763,0.09581482737655772,0.06685885033246991,0.49100183782673745,0.5479131986381561,0.34465988449073676,0.36988436637987,0.1463419533360007,0.17802883225828614,0.5194575182324468,0.3572721254353034,0.1621853927971434,0.6424481889154634,0.638663659226413,0.7475577461667833,0.6979128805656531,-0.10510955725131987,-0.059249221339240155,0.6405559240709382,0.7227353133662182,-0.08217938929528001
data2vec_fusion,random_forest,1536,0.5397199964777515,0.5686150977764111,0.35571572019886066,0.3084444483420702,0.18400427627889082,0.2601706494343409,0.5541675471270813,0.3320800842704654,0.22208746285661585,0.5624644347527947,0.5868403605838726,0.535957633591748,0.5212351207416986,0.026506801161046756,0.06560523984217392,0.5746523976683336,0.5285963771667233,0.046056020501610395,0.6030942354805363,0.6298519667116068,0.5978519142969915,0.5725115556426217,0.00524232118354484,0.05734041106898513,0.6164731010960716,0.5851817349698065,0.03129136612626504,0.12602107754351785,0.17526641778886817,0.08604265790389376,0.051067739418940127,0.03997841963962409,0.12419867836992804,0.150643747666193,0.06855519866141695,0.08208854900477607,0.5122588815997179,0.5464906142190546,0.26054561856530417,0.23832301582808052,0.2517132630344137,0.30816759839097413,0.5293747479093862,0.24943431719669235,0.27994043071269387,0.6126699879058717,0.6271901069486903,0.8113696486181917,0.8041472256553168,-0.19869966071232004,-0.17695711870662656,0.619930047427281,0.8077584371367543,-0.18782838970947335
