representation,classifier,protocol,folds,feature_dimension,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std
classical,mlp,R_R,5,52,0.44280255157893045,0.022826990932456458,0.5283454358494114,0.026826652215185282,0.5649684445116787,0.0411299604865222,0.060629532361048843,0.05714362109114046,0.37441556179945956,0.027229208026651346,0.6822753098993631,0.06189638163320071
classical,mlp,R_S,5,52,0.04731807492978749,0.04378953291367726,0.49194446641404505,0.009333173396618153,0.5252754640165522,0.03214323814396777,-0.04213973483834256,0.052897936244284065,0.02617428550640479,0.025624130295839934,0.9577146473216855,0.03227980308488174
classical,mlp,S_R,5,52,0.05256449040187562,0.03172259647394642,0.49311608603691737,0.009220199745033937,0.4843539608298932,0.04874734126200756,-0.03434263458701716,0.03776040233790538,0.028758012300505648,0.01807806875667533,0.957474159773329,0.03378972710590616
classical,mlp,S_S,5,52,0.4538258863153829,0.08224412880919546,0.5429262130120123,0.024760452908477323,0.5743541924679295,0.017128909438399495,0.09030156015291364,0.05205684948655427,0.3896109472742211,0.10599156365946061,0.6962414787498036,0.08843974967086508
classical,random_forest,R_R,5,52,0.49846437526832554,0.04712169667672764,0.5561903649783992,0.02479078388976714,0.594486242125676,0.03926017817683225,0.11710007452028492,0.051752709147964114,0.4461382352626727,0.07871818247618598,0.6662424946941256,0.0973350023440646
classical,random_forest,R_S,5,52,0.11152003913831039,0.09326526057188934,0.5106571395926093,0.011278888292589507,0.5862633323046114,0.036737094923781105,0.04439365383990286,0.037757507554277946,0.0654561998190518,0.05865943320999055,0.9558580793661667,0.03924887294581038
classical,random_forest,S_R,5,52,0.030348998839229608,0.024332119899295505,0.500344378862364,0.004258797377426755,0.5698367525032358,0.038882802999152886,0.0006343348143903929,0.026756394990284402,0.015848166342550162,0.012947125769852092,0.9848405913821783,0.010694295044024365
classical,random_forest,S_S,5,52,0.4832482719286255,0.0457166402936357,0.5685445419868869,0.017007928657182782,0.6018072533737181,0.02443357359016707,0.1465947255375573,0.036378498951604964,0.40786073384047483,0.07055478314737672,0.7292283501332989,0.07260269577645986
classical,svm_rbf,R_R,5,52,0.48698838893295626,0.03538085886447283,0.5445205602722573,0.03576592592346961,0.5803348527634118,0.049201981650154165,0.09289697547581564,0.07494673980726753,0.4324972435204043,0.04854942397459187,0.6565438770241101,0.08712578796417794
classical,svm_rbf,R_S,5,52,0.007512529546190136,0.015188785836893422,0.5010601527694499,0.002682425867490091,0.49841363705783676,0.022831783832581144,0.006085086545583949,0.028612610957342098,0.003839374307774851,0.007777259405015369,0.9982809312311248,0.0024946974709301227
classical,svm_rbf,S_R,5,52,0.06633552284741531,0.0952799700742078,0.49008457589162935,0.012890410004322065,0.47757158190665533,0.023063013307717026,-0.046835905767001355,0.045860946462156195,0.04218754575037655,0.06620013782183545,0.937981606032882,0.08830592353140307
classical,svm_rbf,S_S,5,52,0.4968920187528044,0.05337066941823666,0.5609554068770584,0.022434964280527353,0.5797292828259971,0.030598134938686856,0.12596355364674405,0.04324892282279954,0.43806301020247285,0.08042585549629648,0.6838478035516441,0.04614200068394112
classical,xgboost,R_R,5,52,0.5030781775594303,0.036761433732445004,0.555481071351112,0.021775635523880937,0.5893085675001449,0.036601478226371574,0.11510585464890473,0.04598626994933161,0.4536303274600043,0.07018956080663409,0.6573318152422197,0.09328046144983762
classical,xgboost,R_S,5,52,0.043049393001305725,0.04577375337342635,0.5032862907071689,0.006031682279137393,0.5742048206752062,0.030676879361336284,0.018263813160907316,0.03556031515900219,0.023119070705449822,0.02561920013098745,0.9834535107088879,0.015659383202357754
classical,xgboost,S_R,5,52,0.05237326890792886,0.043152699420599384,0.5001231647430728,0.008784251812380127,0.5537039105618133,0.04027855121137259,0.0031240005531701113,0.04284818769991356,0.028449127165557652,0.024291732256948424,0.9717972023205881,0.028172978398128275
classical,xgboost,S_S,5,52,0.46108712455191353,0.031226979599957922,0.5503223961813035,0.023814123852808157,0.5851368551089157,0.02339418844017852,0.10672830520078436,0.050794378131146276,0.3842251148096609,0.02831243177820391,0.716419677552946,0.02912881909165286
data2vec_audio,mlp,R_R,5,768,0.5354040666990969,0.056654750775688496,0.5445726138585258,0.0173795494067675,0.5737055685877271,0.02255644003511989,0.09082152972458798,0.034848856011948696,0.5327693918483365,0.11197235763349597,0.5563758358687154,0.10901941138919684
data2vec_audio,mlp,R_S,5,768,0.4454743656348071,0.15149702987473795,0.5356367242070302,0.02099122244261742,0.5622578280105497,0.015158955969564696,0.07546093222678465,0.039083544608831185,0.41333953405093,0.21053507419664413,0.6579339143631303,0.17051248342022143
data2vec_audio,mlp,S_R,5,768,0.4109447549851425,0.14176681769084096,0.5231702494929895,0.02132971344591248,0.5396135841224937,0.04218057665725195,0.05065523431596628,0.04336217005932109,0.36564203306115617,0.19284628381198474,0.6806984659248229,0.1714210371480623
data2vec_audio,mlp,S_S,5,768,0.580512174036661,0.04277685759028063,0.5788668809937568,0.020199229566520736,0.6220430447591104,0.025315264202938392,0.15868082738692452,0.0399839089545889,0.5856711887985944,0.07688571808066236,0.5720625731889191,0.05891383038439467
data2vec_audio,random_forest,R_R,5,768,0.5307145753823679,0.05130022085528111,0.554657455127854,0.009582423308401864,0.585951511878269,0.013382070364514602,0.11138271101848518,0.018062501453320366,0.510890128709341,0.10471115726017591,0.5984247815463667,0.09696356171299142
data2vec_audio,random_forest,R_S,5,768,0.45794161101091635,0.08102537631682141,0.5281310627495592,0.03246918125866162,0.5594829325403102,0.03653129149874272,0.057764112888628025,0.06835826051346694,0.407056480023272,0.11407833282719439,0.6492056454758466,0.08084185818048538
