comparison,left,right,classifier,metric,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,f1,-0.08272380499507481,-0.08214963877889815,0.02887613076572457,-0.13744488835003102,-0.023509740089949913,0.005,2000,subject,CI excludes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,balanced_accuracy,-0.01300304460090218,-0.012870721884078513,0.008392161119826679,-0.029139128665320563,0.0029337216473583477,0.112,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,roc_auc,0.0033000606725392956,0.003673820699589895,0.015137692540456816,-0.026532914723951934,0.03324387843046249,0.833,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,mcc,-0.04421093788812032,-0.04416595002264937,0.020659354309404684,-0.08446313226022917,-0.005413682260795581,0.027,2000,subject,CI excludes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,f1,-0.062365262136012234,-0.06111448606875152,0.048367671917789984,-0.1568540360573063,0.03156334727745338,0.215,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,balanced_accuracy,-0.010269637103951457,-0.010218673404768175,0.015763121944219763,-0.041738220518192246,0.020880492914988075,0.493,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,roc_auc,-0.010026591164873921,-0.00997545080046366,0.018088067128608765,-0.045018098196425965,0.02682774900213115,0.578,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,mcc,-0.036213761282257936,-0.035978570435020896,0.037393268965408545,-0.10943732017291843,0.0385182168053641,0.319,2000,subject,CI includes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,f1,0.26998967072055424,0.26976985311731655,0.0347513672667893,0.20252073848477753,0.3401283978569255,0.0,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,balanced_accuracy,0.029253394071046768,0.029195404964778505,0.011820673654757122,0.008675332767777844,0.054238046976904604,0.004,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,roc_auc,0.10574925657436873,0.10546673542461697,0.02319940236811545,0.05884388460432728,0.1516790067036943,0.0,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,mcc,0.06857393275878924,0.06869973637747427,0.0260061774573165,0.021465395314838633,0.12169385451607208,0.005,2000,subject,CI excludes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,f1,-0.023654085909578626,-0.024845403836783183,0.030973818558670287,-0.0835641575533039,0.03299592791524872,0.437,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,balanced_accuracy,0.010743039476542093,0.010501879631596388,0.007988073837984751,-0.0046346516379685695,0.026962455276732262,0.186,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,roc_auc,0.010099645186523842,0.009374045494931817,0.011778231773632098,-0.013763615990119521,0.03322368178256262,0.436,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,mcc,0.012694102784724215,0.012397060568742556,0.018852843997606093,-0.023350190133049318,0.05099373921137544,0.492,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,f1,-0.06610585703565647,-0.06541097619285455,0.025024388633774066,-0.11702034034416393,-0.015097099586095763,0.011,2000,subject,CI excludes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,balanced_accuracy,-0.014679520005640767,-0.014453395781728386,0.009424925763888045,-0.0350315701647538,0.0017864251476409781,0.087,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,roc_auc,-0.010576440138189924,-0.011071066881951268,0.015826975359798403,-0.044184049940592635,0.018284594547071216,0.493,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,mcc,-0.04044855921525184,-0.0399609615436984,0.021639556533561123,-0.08392115074517131,-0.0009265884322001615,0.044,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,f1,0.3198799413252398,0.32062767741567927,0.0428425088210287,0.23640570659468468,0.40165754401762926,0.0,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,balanced_accuracy,0.058277706949826036,0.05834240852356242,0.012814216527661265,0.035228084523166746,0.0857393895164795,0.0,2000,subject,CI excludes zero
