representation,classifier,protocol,metric,point_estimate,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,bootstrap_iterations,unit
classical,svm_rbf,R_R,f1,0.4762512271243935,0.4756165674019399,0.03267839177067967,0.4104266588347129,0.5373733996055448,2000,subject
classical,svm_rbf,R_R,balanced_accuracy,0.5474320877103979,0.5472886088698605,0.011773062689328692,0.5250175776149999,0.5702688194483306,2000,subject
classical,svm_rbf,R_R,roc_auc,0.583674525403816,0.583596218031812,0.016531218574574225,0.5515289036854425,0.6160548043439243,2000,subject
classical,svm_rbf,R_R,mcc,0.10763362812935265,0.10759288415401669,0.027030974527250742,0.05515121173292629,0.1607682867759095,2000,subject
classical,svm_rbf,S_S,f1,0.47191845294099194,0.47203236963588857,0.03517558280283692,0.40203463153556257,0.5390768644240539,2000,subject
classical,svm_rbf,S_S,balanced_accuracy,0.5553094630065385,0.5550793346928201,0.01237118093539942,0.5310773816931126,0.5783569510616627,2000,subject
classical,svm_rbf,S_S,roc_auc,0.5795136628735146,0.5788802707126541,0.018358129975657205,0.5428462437427696,0.6140157969503335,2000,subject
classical,svm_rbf,S_S,mcc,0.11130408272921309,0.11079888590240733,0.027705738219397653,0.05686417534418152,0.16402983653559522,2000,subject
classical,svm_rbf,R_S,f1,0.00415655566904673,0.004149462571264342,0.0034494747184260783,0.0,0.011875770977401083,2000,subject
classical,svm_rbf,R_S,balanced_accuracy,0.5005155598449375,0.500511650754224,0.000662008896121364,0.4996467270394408,0.5020435551603445,2000,subject
classical,svm_rbf,R_S,roc_auc,0.4863990303680291,0.48661720919627405,0.015093457741713431,0.4580906130683661,0.5168844091641425,2000,subject
classical,svm_rbf,R_S,mcc,0.0004942238714987136,0.0004093471529250215,0.004015102467747923,-0.006762912518668167,0.009059927693173375,2000,subject
classical,svm_rbf,S_R,f1,0.04650356337303805,0.04598500410230455,0.01644560032869491,0.01747708965877843,0.08093509689389178,2000,subject
classical,svm_rbf,S_R,balanced_accuracy,0.4920321398647838,0.4920647370216103,0.00369825357635773,0.48398831892523736,0.4986203195105125,2000,subject
classical,svm_rbf,S_R,roc_auc,0.46445830062362586,0.46393580125117523,0.01587839513014444,0.4325127233373653,0.49438478720404616,2000,subject
