classifier,protocol,metric,hubert_odi_hb_point,hubert_point,point_difference,ci95_low,ci95_high,p_value_two_sided,interpretation
svm_rbf,R_S,f1,0.30186178394434743,0.27414622638960096,0.027715557554746473,-0.03489981029258452,0.08263087710288562,0.356,CI includes zero
svm_rbf,R_S,balanced_accuracy,0.5243023990041038,0.5297689539159842,-0.005466554911880417,-0.02587341664808414,0.012424821119842272,0.577,CI includes zero
svm_rbf,R_S,roc_auc,0.5811852539008605,0.5921482869423979,-0.01096303304153734,-0.027638894479118062,0.003634524030084766,0.153,CI includes zero
svm_rbf,R_S,mcc,0.06157883987727131,0.06906815663028795,-0.007489316753016645,-0.05217425096950189,0.035881457492774056,0.71,CI includes zero
svm_rbf,S_R,f1,0.4221119355552013,0.36638350469827785,0.05572843085692347,0.027672094982256337,0.08877052178016376,0.0,CI excludes zero
svm_rbf,S_R,balanced_accuracy,0.5533393545784645,0.5503098468146098,0.0030295077638546886,-0.007047399085144894,0.01640024384621698,0.675,CI includes zero
svm_rbf,S_R,roc_auc,0.580364885515365,0.5951301688368762,-0.014765283321511169,-0.02778541547039336,-0.004155166046626882,0.003,CI excludes zero
svm_rbf,S_R,mcc,0.1095255180330649,0.1108711692961807,-0.0013456512631157963,-0.026852688431704217,0.03333459455330951,0.82,CI includes zero
mlp,R_S,f1,0.2885296408326694,0.3598040286501471,-0.07127438781747769,-0.11851203092701963,-0.028587001540667113,0.0,CI excludes zero
mlp,R_S,balanced_accuracy,0.5350074456021854,0.5349644092282305,4.303637395486337e-05,-0.015291200519173355,0.014914674339065306,0.99,CI includes zero
mlp,R_S,roc_auc,0.5878020976527087,0.5791227446030868,0.008679353049621974,-0.01200076283376779,0.027834986141311868,0.392,CI includes zero
mlp,R_S,mcc,0.08199923326663608,0.07577990316281559,0.006219330103820489,-0.027662701366705008,0.03825551291967308,0.716,CI includes zero
mlp,S_R,f1,0.3674364672626521,0.3610554814854195,0.006380985777232617,-0.060078658789838715,0.07769486979504858,0.845,CI includes zero
mlp,S_R,balanced_accuracy,0.5354148575826969,0.5339437486018365,0.0014711089808604472,-0.02171928683639557,0.025547311414443004,0.882,CI includes zero
mlp,S_R,roc_auc,0.5826300595927977,0.5801036025931222,0.0025264569996754638,-0.021368377670465153,0.025315493420207773,0.798,CI includes zero
mlp,S_R,mcc,0.07474591251462104,0.0728485551359236,0.0018973573786974368,-0.049822757801722385,0.05580985539023886,0.919,CI includes zero
random_forest,R_S,f1,0.43031712926376314,0.3907362567405174,0.03958087252324577,-0.0018457988111956424,0.08447650754913623,0.069,CI includes zero
random_forest,R_S,balanced_accuracy,0.5467251509354515,0.5443907142291946,0.0023344367062568816,-0.011959288778290498,0.016620254062496606,0.741,CI includes zero
random_forest,R_S,roc_auc,0.607620415007965,0.6057484637684635,0.001871951239501568,-0.010012016196302313,0.014640763639793128,0.777,CI includes zero
random_forest,R_S,mcc,0.10255564841129369,0.09895722491480799,0.003598423496485703,-0.026225624829986693,0.03349301213068304,0.794,CI includes zero
random_forest,S_R,f1,0.33598581198015304,0.3153368254513511,0.020648986528801927,-8.909971430006912e-05,0.04267467272137364,0.052,CI includes zero
random_forest,S_R,balanced_accuracy,0.532945500845433,0.5243547149257702,0.00859078591966278,0.0029669661580469316,0.014715260264090606,0.003,CI excludes zero
random_forest,S_R,roc_auc,0.5726583584252263,0.5599398276699422,0.012718530755284063,0.0023626990757750397,0.027197595249210425,0.008,CI excludes zero
random_forest,S_R,mcc,0.07332610196848666,0.04714255283846827,0.026183549130018385,0.01126268980268985,0.04146008742962948,0.0,CI excludes zero
xgboost,R_S,f1,0.3603024313048455,0.3801848676648889,-0.019882436360043387,-0.061945878104851526,0.016890823058333886,0.333,CI includes zero
xgboost,R_S,balanced_accuracy,0.5368923301929522,0.546538048762967,-0.009645718570014727,-0.022431234535009843,0.0025316407773631534,0.12,CI includes zero
xgboost,R_S,roc_auc,0.6039387141571556,0.6158887444089495,-0.011950030251793864,-0.027289277465510485,0.003624890363762743,0.141,CI includes zero
xgboost,R_S,mcc,0.08560541282067459,0.10928349658515055,-0.023678083764475957,-0.05181126413408815,0.002229004192397965,0.083,CI includes zero
xgboost,S_R,f1,0.31307009661406965,0.36648849396171423,-0.053418397347644586,-0.08828466697864693,-0.021959701082678647,0.001,CI excludes zero
xgboost,S_R,balanced_accuracy,0.536971657214301,0.5417992251451946,-0.0048275679308936725,-0.013664080130364346,0.004346488781870945,0.311,CI includes zero
xgboost,S_R,roc_auc,0.5835742637371116,0.5757007654120311,0.007873498325080552,-0.007629512627542754,0.027397983673454238,0.424,CI includes zero
xgboost,S_R,mcc,0.0759648843520084,0.08787870184827404,-0.011913817496265633,-0.03424323067321097,0.011451081957794769,0.312,CI includes zero
