comparison,left,right,classifier,metric,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,f1,-0.08272380499507481,-0.08260360650774241,0.028913031062940454,-0.13985081505577698,-0.028170274723978213,0.003,2000,subject,CI excludes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,balanced_accuracy,-0.01300304460090218,-0.012924336843511918,0.008604397945239265,-0.029549811365922753,0.0039041422258018097,0.147,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,roc_auc,0.0033000606725392956,0.00340475404305477,0.01573606808019601,-0.026407388932519742,0.03482456689477717,0.846,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,mcc,-0.04421093788812032,-0.04388096472329977,0.021004546102769632,-0.08731160915259849,-0.0032530604359160124,0.032,2000,subject,CI excludes zero
full_fusion_vs_wavlm_large_R_S,full_fusion/R_S,wavlm_large/R_S,svm_rbf,f1,-0.04285163130506264,-0.042382108911496755,0.03712941572468417,-0.11423926969300359,0.03108389275833511,0.26,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_R_S,full_fusion/R_S,wavlm_large/R_S,svm_rbf,balanced_accuracy,-0.014099201943191808,-0.014017113598534386,0.010942819784840274,-0.034426968945061705,0.008437474758107504,0.217,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_R_S,full_fusion/R_S,wavlm_large/R_S,svm_rbf,roc_auc,0.012471553949175096,0.0126217953832596,0.022122752127388613,-0.02842952240881104,0.05915854887845533,0.593,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_R_S,full_fusion/R_S,wavlm_large/R_S,svm_rbf,mcc,-0.06103321455518103,-0.0609665280180282,0.028567948722528113,-0.11577865248725233,-0.0038831721862447907,0.038,2000,subject,CI excludes zero
wavlm_large_vs_classical_R_S,wavlm_large/R_S,classical/R_S,svm_rbf,f1,0.25047603988960465,0.25037338106122825,0.0236893536442256,0.2033069579481248,0.29624350026727336,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_R_S,wavlm_large/R_S,classical/R_S,svm_rbf,balanced_accuracy,0.03308295891028712,0.03317022135434407,0.006172061127978257,0.021438892007335675,0.04574186634732532,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_R_S,wavlm_large/R_S,classical/R_S,svm_rbf,roc_auc,0.08325111146031972,0.08306582565484275,0.0174397680042904,0.04822304548222679,0.11773921368273019,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_R_S,wavlm_large/R_S,classical/R_S,svm_rbf,mcc,0.09339338603171234,0.09371731631565702,0.015398985928862602,0.06351422907255912,0.12359178165634548,0.0,2000,subject,CI excludes zero
full_fusion_plus_hear_vs_full_fusion_R_S,full_fusion_plus_hear/R_S,full_fusion/R_S,svm_rbf,f1,-0.11252386180172892,-0.11281795314186302,0.02514088821301982,-0.16602895226607872,-0.066797225202307,0.0,2000,subject,CI excludes zero
full_fusion_plus_hear_vs_full_fusion_R_S,full_fusion_plus_hear/R_S,full_fusion/R_S,svm_rbf,balanced_accuracy,-0.00985529269493024,-0.009893588647730026,0.009099561588471373,-0.02967646590661372,0.006439309784663481,0.256,2000,subject,CI includes zero
full_fusion_plus_hear_vs_full_fusion_R_S,full_fusion_plus_hear/R_S,full_fusion/R_S,svm_rbf,roc_auc,-0.011128122610664537,-0.011173982547531654,0.009354703391773765,-0.029437336771369567,0.006675513950594971,0.24,2000,subject,CI includes zero
full_fusion_plus_hear_vs_full_fusion_R_S,full_fusion_plus_hear/R_S,full_fusion/R_S,svm_rbf,mcc,-0.006957918080914529,-0.006841778561550501,0.021407952488659964,-0.05049432523148306,0.03190153159933806,0.778,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,f1,-0.023654085909578626,-0.022412905585710928,0.03200229695594266,-0.0845400408691708,0.04390319300108439,0.455,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,balanced_accuracy,0.010743039476542093,0.011107820286524987,0.00820595173982765,-0.0041902647827709695,0.027019622916073356,0.18,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,roc_auc,0.010099645186523842,0.010577217205063355,0.011823050764361869,-0.012277618731332658,0.033200843480747234,0.379,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,mcc,0.012694102784724215,0.013547233736290094,0.019574617208283535,-0.024689999419417342,0.05241806459756979,0.502,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,f1,0.001671308579240527,0.002103236893171818,0.03207387356127553,-0.06424183861903732,0.06430801129382582,0.941,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,balanced_accuracy,0.0035838836847161826,0.0037830696823930293,0.00891253262054681,-0.013505390077423001,0.021620283234250307,0.685,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,roc_auc,0.027718279243246324,0.028029877511419325,0.01743953630803856,-0.006911451119757645,0.06039598086257828,0.114,2000,subject,CI includes zero
full_fusion_vs_wavlm_large_S_R,full_fusion/S_R,wavlm_large/S_R,svm_rbf,mcc,0.005241815435743202,0.005630075574997192,0.020934610018669746,-0.03393902259865781,0.04626523271210181,0.804,2000,subject,CI includes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,f1,0.2521027757103428,0.25292612412015647,0.03437435278190833,0.18596832701490926,0.31943375419748604,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,balanced_accuracy,0.040014303259469086,0.04030410012180387,0.009723937787426818,0.021608835293389878,0.05963577958433342,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,roc_auc,0.09237714883181408,0.09295336191695826,0.02290086651072287,0.0473195850600614,0.13921982626088342,0.0,2000,subject,CI excludes zero
wavlm_large_vs_classical_S_R,wavlm_large/S_R,classical/S_R,svm_rbf,mcc,0.08919910374575357,0.08964199319892348,0.02272969697618739,0.044339280833998816,0.13521919941285818,0.0,2000,subject,CI excludes zero
full_fusion_plus_hear_vs_full_fusion_S_R,full_fusion_plus_hear/S_R,full_fusion/S_R,svm_rbf,f1,-0.012423622871654327,-0.012438057770815258,0.006266191374549735,-0.02562946736627855,-0.0003348724264873794,0.042,2000,subject,CI excludes zero
