metric,subjects,recorder_mean,smartphone_mean,paired_difference_R_minus_S,difference_std,ci95_low,ci95_high,paired_t_p_value,wilcoxon_p_value,unit
spectral_centroid_hz,41,367.26760043339556,128.91524076508307,238.3523596683124,127.71043622730713,198.04197208667586,278.66274724994895,8.91223788527819e-15,9.094947017729282e-13,subject_mean
spectral_bandwidth_hz,41,477.47990203124937,149.77048102209116,327.7094210091582,88.63123919101783,299.73395002046277,355.6848919978536,3.8294507369484623e-25,9.094947017729282e-13,subject_mean
spectral_rolloff85_hz,41,629.4340088748077,193.96514664244694,435.46886223236055,262.94545170729543,352.4730367989243,518.4646876657969,3.461112172929638e-13,9.094947017729282e-13,subject_mean
spectral_flatness,41,0.00026419434365117846,2.4962787655471024e-05,0.00023923155599570741,9.76740155259543e-05,0.0002084018326088247,0.00027006127938259013,1.1075791108395947e-18,9.094947017729282e-13,subject_mean
rms,41,0.00863007723175776,0.01673787828765399,-0.00810780105589623,0.00913608619074976,-0.010991505678695213,-0.0052240964330972466,1.3207040649395804e-06,9.161522029899061e-08,subject_mean
mean_square_energy,41,0.00021359423704449417,0.00042924666332381226,-0.00021565242627931804,0.00036042118596069073,-0.00032941538980760335,-0.00010188946275103271,0.0004404753102535671,8.957321279012831e-05,subject_mean
dynamic_range_p995_p005,41,0.05967006124583696,0.10728018977832372,-0.04761012853248677,0.06048101857978479,-0.06670029353626106,-0.028519963528712482,1.0406023225580488e-05,1.6196881915675476e-06,subject_mean
noise_floor_proxy_rms_p10_frames,41,0.0048095505301801195,0.010826348431643418,-0.006016797901463299,0.006117889067403439,-0.007947841963121264,-0.004085753839805334,1.805347631559581e-07,7.323251338675618e-08,subject_mean
snr_proxy_db_rms_to_p10_frame,41,3.32723757739482,3.4660701961754725,-0.1388326187806528,1.584409576390085,-0.6389339887161867,0.3612687511548811,0.5778805896002668,0.7291827946046396,subject_mean
integrated_psd,41,0.00021270696788466682,0.0004238893736972791,-0.00021118240581261227,0.0003568129640037343,-0.0003238064739627109,-9.855833766251363e-05,0.0004980355763168082,9.55432342379936e-05,subject_mean
band_energy_0_500_hz,41,0.00013414214022499263,0.0003996292836355152,-0.00026548714341052257,0.0003337162433341557,-0.0003708209869747589,-0.0001601532998462862,8.77140561160931e-06,2.3963821149664e-07,subject_mean
band_energy_500_1000_hz,41,4.367278861519401e-05,1.4606533467404137e-05,2.906625514778987e-05,8.916707031580396e-05,9.21654987223279e-07,5.7210855308356464e-05,0.04328052851223014,0.0023762451764923753,subject_mean
band_energy_1000_2000_hz,41,2.4888287909061615e-05,6.843713956840035e-06,1.8044573952221574e-05,5.31892390209223e-05,1.2559785684463784e-06,3.483316933599677e-05,0.03581953071742202,0.0023762451764923753,subject_mean
band_energy_2000_4000_hz,41,7.302920526097112e-06,1.7399057863758563e-06,5.5630147397212555e-06,1.9275644157146966e-05,-5.211292802500885e-07,1.16471587596926e-05,0.07201135563213723,0.0002881436976167606,subject_mean
band_energy_4000_8000_hz,41,1.643381050338399e-08,6.890012273770226e-09,9.543798229613765e-09,4.881891919360798e-08,-5.865354006843431e-09,2.495295046607096e-08,0.2179239740812939,0.003145700773529825,subject_mean
