representation,protocol,fold,feature_dimension,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,macro_f1,mcc,cohen_kappa,roc_auc,tn,fp,fn,tp,n
full_fusion_pca_384,S_R,4,384,0.4877229258206255,0.49983489454908697,0.5,0.006559031281533804,0.9931107578166402,0.012948207171314742,0.3335247144059017,-0.0020202602376233995,-0.0003222066380306199,0.5765204273544038,1874.0,13.0,1969.0,13.0,3869.0
full_fusion_pca_768,S_R,1,768,0.5035087719298246,0.5,0.5035087719298246,1.0,0.0,0.6697782963827305,0.3348891481913652,0.0,0.0,0.5406759938680783,0.0,1981.0,0.0,2009.0,3990.0
full_fusion_v2_pca_1536,R_S,2,1536,0.4977307110438729,0.5,0.0,0.0,1.0,0.0,0.3323232323232323,0.0,0.0,0.49975153908440245,1974.0,0.0,1992.0,0.0,3966.0
full_fusion_v2_pca_1536,R_S,3,1536,0.5020151133501259,0.5,0.0,0.0,1.0,0.0,0.3342277377159148,0.0,0.0,0.5,1993.0,0.0,1977.0,0.0,3970.0
full_fusion_pca_1536,S_R,1,1536,0.5035087719298246,0.5,0.5035087719298246,1.0,0.0,0.6697782963827305,0.3348891481913652,0.0,0.0,0.5007571933366987,0.0,1981.0,0.0,2009.0,3990.0
full_fusion_v2_pca_768,S_R,3,768,0.49798488664987406,0.5,0.49798488664987406,1.0,0.0,0.6648730452328905,0.33243652261644524,0.0,0.0,0.5649561020476066,0.0,1993.0,0.0,1977.0,3970.0
full_fusion_pca_1536,S_R,3,1536,0.49798488664987406,0.5,0.49798488664987406,1.0,0.0,0.6648730452328905,0.33243652261644524,0.0,0.0,0.5,0.0,1993.0,0.0,1977.0,3970.0
full_fusion_v2_pca_384,R_S,1,384,0.49874686716791977,0.5021379059251038,0.5671641791044776,0.018914883026381283,0.9853609288238263,0.036608863198458574,0.34892773783229164,0.01663811942690908,0.004246800051010524,0.5707761564630037,1952.0,29.0,1971.0,38.0,3990.0
full_fusion_pca_768,S_R,3,768,0.49798488664987406,0.5,0.49798488664987406,1.0,0.0,0.6648730452328905,0.33243652261644524,0.0,0.0,0.5600094767701117,0.0,1993.0,0.0,1977.0,3970.0
full_fusion_pca_768,R_S,2,768,0.4977307110438729,0.5,0.0,0.0,1.0,0.0,0.3323232323232323,0.0,0.0,0.5023055748831191,1974.0,0.0,1992.0,0.0,3966.0
full_fusion_pca_1536,R_S,0,1536,0.5066200349737696,0.5,0.0,0.0,1.0,0.0,0.33626264301110925,0.0,0.0,0.5004930966469427,2028.0,0.0,1975.0,0.0,4003.0
full_fusion_pca_384,S_R,3,384,0.5410579345088161,0.5399520476447536,0.5865921787709497,0.26555386949924126,0.814350225790266,0.36559888579387184,0.5030441153515531,0.09560749619649546,0.08008002024669936,0.6125225593573461,1623.0,370.0,1452.0,525.0,3970.0
full_fusion_pca_384,S_R,0,384,0.5328503622283287,0.5346540833395751,0.5206286836935167,0.6708860759493671,0.398422090729783,0.5862831858407079,0.524925872897405,0.07200775667402909,0.06904777006296625,0.5675249045015354,808.0,1220.0,650.0,1325.0,4003.0
full_fusion_pca_768,R_S,4,768,0.4877229258206255,0.5,0.0,0.0,1.0,0.0,0.3278318276580959,0.0,0.0,0.5239013869927387,1887.0,0.0,1982.0,0.0,3869.0
full_fusion_v2_pca_768,S_R,4,768,0.5122770741793745,0.5,0.5122770741793745,1.0,0.0,0.6774910271748419,0.33874551358742094,0.0,0.0,0.543670993365301,0.0,1887.0,0.0,1982.0,3869.0
full_fusion_v2_pca_384,R_S,4,384,0.4864306022227966,0.49867514573396926,0.0,0.0,0.9973502914679385,0.0,0.3272474352286559,-0.03686653475330754,-0.002584807306006187,0.5280501460681909,1882.0,5.0,1982.0,0.0,3869.0
full_fusion_pca_1536,S_R,0,1536,0.4933799650262303,0.5,0.4933799650262303,1.0,0.0,0.6607561057209769,0.33037805286048844,0.0,0.0,0.500240056924575,0.0,2028.0,0.0,1975.0,4003.0
full_fusion_v2_pca_1536,S_R,4,1536,0.5122770741793745,0.5,0.5122770741793745,1.0,0.0,0.6774910271748419,0.33874551358742094,0.0,0.0,0.5,0.0,1887.0,0.0,1982.0,3869.0
full_fusion_pca_768,R_S,3,768,0.5020151133501259,0.5,0.0,0.0,1.0,0.0,0.3342277377159148,0.0,0.0,0.5177538430536214,1993.0,0.0,1977.0,0.0,3970.0
full_fusion_pca_1536,S_R,4,1536,0.5122770741793745,0.5,0.5122770741793745,1.0,0.0,0.6774910271748419,0.33874551358742094,0.0,0.0,0.5,0.0,1887.0,0.0,1982.0,3869.0
full_fusion_pca_384,R_S,2,384,0.4977307110438729,0.5,0.0,0.0,1.0,0.0,0.3323232323232323,0.0,0.0,0.5440191617533965,1974.0,0.0,1992.0,0.0,3966.0
full_fusion_pca_384,S_R,2,384,0.49848714069591527,0.5004554692935878,0.5057034220532319,0.06676706827309237,0.9341438703140831,0.11796008869179601,0.3837994912368615,0.001830427829219213,0.000907347922332824,0.5758487343497598,1844.0,130.0,1859.0,133.0,3966.0
full_fusion_v2_pca_768,S_R,0,768,0.4933799650262303,0.5,0.4933799650262303,1.0,0.0,0.6607561057209769,0.33037805286048844,0.0,0.0,0.5282911392405063,0.0,2028.0,0.0,1975.0,4003.0
