representation,feature_dimension,protocol,folds,f1_mean,balanced_accuracy_mean,roc_auc_mean,mcc_mean,sensitivity_mean,specificity_mean,f1_std,balanced_accuracy_std,roc_auc_std,mcc_std,sensitivity_std,specificity_std
data2vec_fusion,1536,R_S,5,0.3553205853938586,0.5437035116180879,0.5885869967803646,0.10321578432229946,0.2716053693295124,0.8158016539066633,0.13773855828679984,0.03843577240464626,0.04226659909424134,0.07595790892616736,0.15422155282070024,0.08893266370918215
data2vec_fusion,1536,S_R,5,0.36857592997827715,0.5312166060208726,0.5749954034765498,0.07153142155529779,0.314095107162514,0.7483381048792312,0.1641753103915653,0.02780537332062765,0.028833003709951607,0.05391814039175329,0.2268156229196182,0.17360491693364843
full_fusion,3840,R_S,5,0.26423646028271736,0.5256142142711363,0.579206229057975,0.06153050016662992,0.18053506631222796,0.8706933622300447,0.1296881578843933,0.041299447700579625,0.03800573028482883,0.09321299720637671,0.11236106631443425,0.040806715532672226
full_fusion,3840,S_R,5,0.3711562552892126,0.5459697115958617,0.6019284748962288,0.11183963914329435,0.2737502305892182,0.8181891926025052,0.06997664500825672,0.005213480820598622,0.010504739458147403,0.007949290491595085,0.07844751053138736,0.06937182411374408
full_fusion_pca_1536,1536,R_S,5,0.0,0.5,0.5015181632407432,0.0,0.0,1.0,0.0,0.0,0.002543429531527192,0.0,0.0,0.0
full_fusion_pca_1536,1536,S_R,5,0.6683158479737885,0.5,0.5001487914909578,0.0,1.0,0.0,0.00623414843941969,0.0,0.00038224069088950376,0.0,0.0,0.0
full_fusion_pca_384,384,R_S,5,0.008118815941489986,0.5010002393741806,0.5716050500238508,0.01523409880446549,0.0041187964443454,0.9978816823040155,0.010774736013468428,0.0021339407199260246,0.03005368432488248,0.02643838886041287,0.005466753913327505,0.003949389055466215
full_fusion_pca_384,384,S_R,5,0.28503148687861185,0.5192723477370941,0.5832893486879938,0.04373232014567467,0.25162966494887984,0.7869150305253084,0.22498512385253094,0.01871460707982054,0.0173553167882974,0.0429997363634704,0.2599106395878622,0.23234173582620501
full_fusion_pca_768,768,R_S,5,0.0,0.5,0.5166302033137731,0.0,0.0,1.0,0.0,0.0,0.008323215699645874,0.0,0.0,0.0
full_fusion_pca_768,768,S_R,5,0.6683158479737885,0.5,0.5410230971202681,0.0,1.0,0.0,0.00623414843941969,0.0,0.012194462222846696,0.0,0.0,0.0
full_fusion_v2_pca_1536,1536,R_S,5,0.0,0.5,0.5012496562375544,0.0,0.0,1.0,0.0,0.0,0.003236844637958758,0.0,0.0,0.0
full_fusion_v2_pca_1536,1536,S_R,5,0.6683158479737885,0.5,0.5001997081199544,0.0,1.0,0.0,0.006234148439419674,0.0,0.00032817235560826674,0.0,0.0,0.0
full_fusion_v2_pca_384,384,R_S,5,0.011138579243215162,0.5009200900314784,0.5558935186344647,0.011894869832038055,0.005702238601687787,0.9961379414612692,0.015087329777764846,0.001705284359926345,0.039718289431737455,0.03201650336701962,0.0078021089733193326,0.006109568305187471
full_fusion_v2_pca_384,384,S_R,5,0.41472027136824374,0.5295117317113982,0.5592539509606544,0.07837972973288462,0.5291119663818172,0.5299114970409792,0.32990624229805354,0.030212127253698387,0.014129796650555656,0.07844289985374837,0.4601203474089228,0.40693925158868577
full_fusion_v2_pca_768,768,R_S,5,0.0,0.5,0.5237692064062855,0.0,0.0,1.0,0.0,0.0,0.013297232659927159,0.0,0.0,0.0
full_fusion_v2_pca_768,768,S_R,5,0.6683158479737885,0.5,0.5414607465694774,0.0,1.0,0.0,0.006234148439419701,0.0,0.014773837563279978,0.0,0.0,0.0
hubert,768,R_S,5,0.3226177811827674,0.535929046297993,0.5886896788925997,0.08562339247760856,0.24285150897165622,0.8290065836243297,0.1550311277484028,0.035004749021632975,0.028803355560039535,0.06819999189679403,0.14791612944822188,0.09184659667784495
hubert,768,S_R,5,0.4538560618981798,0.5652976667176312,0.6059544514802921,0.14308582082116433,0.3696405050003848,0.7609548284348774,0.08345251434688977,0.02851181295060722,0.03710644756844347,0.055849291793281686,0.09769438065865692,0.06828364498109978
