representation,classifier,protocol,fold,dimension,metric,fixed_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,R_S,0,384,f1,0.3062235021593388,0.0006038647342995169,0.3056196374250393,0.3038043495875097,0.0724957572780576,0.17441191927946229,0.4570660783506,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,0,384,balanced_accuracy,0.533135562192951,0.5001513775355737,0.03298418465737729,0.03230098119681396,0.027495907954779866,-0.008750139631220793,0.09246669918997474,0.24,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,384,roc_auc,0.5807066832382004,0.6263883847816906,-0.04568170154349016,-0.04492224985117298,0.02767296965404095,-0.09740949585008822,0.01157197863147983,0.112,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,384,mcc,0.05838052537278361,0.004173494501612666,0.054207030871170944,0.052904567568440905,0.05915985581702781,-0.041604450494230054,0.1816020730552715,0.415,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,768,f1,0.22885252737887007,0.0,0.22885252737887007,0.2310013542548683,0.0685477218173747,0.11770356932578677,0.3753898433439984,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,0,768,balanced_accuracy,0.5210644684798562,0.5,0.021064468479856213,0.02169308445971561,0.0225547053647164,-0.010402432681257663,0.07039757017802643,0.454,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,768,roc_auc,0.5634855551387188,0.5226394908309577,0.040846064307761054,0.041153135302061786,0.02450642754895415,-0.00405940071870161,0.09124457134277444,0.073,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,768,mcc,0.039849375570303956,0.0,0.039849375570303956,0.04110306686038206,0.047490277505437904,-0.03430608440171153,0.1425305469616389,0.456,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,0,1536,f1,0.23602488692663293,0.0,0.23602488692663293,0.2332023160761207,0.05758152267739879,0.1321087638904781,0.3529256785373122,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,0,1536,balanced_accuracy,0.5272523895953529,0.5,0.02725238959535292,0.026546321742668928,0.01680239426711649,0.00020989332348668783,0.06469841310271057,0.045,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,0,1536,roc_auc,0.5720734509865649,0.5002827254735652,0.0717907255129997,0.07028720727836535,0.03244126771112512,0.008055332085983753,0.13669377420637188,0.019,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,0,1536,mcc,0.08214118024997898,0.0,0.08214118024997898,0.08062902857941699,0.04084451541591554,0.004702031543967703,0.1660992926387774,0.034,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,384,f1,0.33772292707512075,0.01267605633802817,0.3250468707370926,0.3243220964233578,0.06368368691875345,0.19740320889407406,0.4414655755072223,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,384,balanced_accuracy,0.5336771310353711,0.5,0.033677131035371066,0.03379902838693494,0.01757582084492754,0.004278183236512717,0.07137604319398137,0.017,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,384,roc_auc,0.5740550618647448,0.5582764253432451,0.01577863652149969,0.015351003612913514,0.017855503991396324,-0.020283640434294457,0.049264538871584156,0.414,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,1,384,mcc,0.06653052313856112,0.0,0.06653052313856112,0.0667302878204475,0.04161825349885564,-0.008388704575216782,0.15432590458274467,0.082,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,1,768,f1,0.27949291828315403,0.0,0.27949291828315403,0.28118185006471574,0.06376316082429646,0.16328494146872588,0.4076861025303858,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,768,balanced_accuracy,0.5305606217765206,0.5,0.030560621776520636,0.030749961527877533,0.011311606414858393,0.008994991955017686,0.0528692368272584,0.004,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,768,roc_auc,0.5810761600336232,0.527320982359317,0.053755177674306154,0.051871937834400056,0.027346860835113593,0.0015855267939522133,0.1066596841926691,0.043,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,768,mcc,0.07733183125521825,0.0,0.07733183125521825,0.07755287623630872,0.031745100926958925,0.016463670482344397,0.14294905822341797,0.009,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,1536,f1,0.3454101055984691,0.0,0.3454101055984691,0.34683377816133726,0.07130876487383868,0.20288209188401696,0.4827308224343467,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,1536,balanced_accuracy,0.5423530364863457,0.5,0.042353036486345697,0.042680056834897506,0.01522293346472794,0.014231435610830637,0.07246769886322406,0.004,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,1536,roc_auc,0.6010892133582657,0.5041590926008319,0.09693012075743379,0.09707091378528825,0.01776960538030277,0.06330829776770555,0.13133311835533562,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,1,1536,mcc,0.09036343166593246,0.0,0.09036343166593246,0.09107067439359019,0.034571766428684515,0.024333963373372423,0.1546980826922536,0.006,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,2,384,f1,0.1612722762434151,0.0,0.1612722762434151,0.16000032282233081,0.06385523235705169,0.044682795736118684,0.2878571712215474,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,2,384,balanced_accuracy,0.5097230118090406,0.5,0.00972301180904056,0.009099784664733592,0.015379981469183766,-0.01918130873721876,0.04007804280540129,0.607,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,2,384,roc_auc,0.5472022999656799,0.551157291600763,-0.0039549916350830605,-0.005355504196054246,0.026070551360837992,-0.04945616659523716,0.05072371073271488,0.766,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,2,384,mcc,0.012111970320294749,0.0,0.012111970320294749,0.0103096315933607,0.0400914998450784,-0.06682578801736988,0.09087238049581346,0.805,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,2,768,f1,0.17100275403378357,0.0,0.17100275403378357,0.16904192660572215,0.05832950068892369,0.06033781889543033,0.2876992411384974,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,R_S,2,768,balanced_accuracy,0.5077144388245962,0.5,0.007714438824596215,0.007066534795055997,0.012703317427653554,-0.015509731255057498,0.034024644559857466,0.632,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,2,768,roc_auc,0.48936903958607314,0.4858365972545535,0.003532442331519614,0.0032233505405126067,0.012011528646916337,-0.02245606049930982,0.02445831680925031,0.746,2000,subject,CI includes zero
full_fusion,svm_rbf,R_S,2,768,mcc,0.014192318361369761,0.0,0.014192318361369761,0.012643760074723571,0.03355977426297997,-0.04989604983010716,0.08071622925159419,0.723,2000,subject,CI includes zero
