outer_fold,device,split,subjects,subject_ids,clips,positive_clips,negative_clips,patient_disjoint
0,R,train,24,"[""03"", ""05"", ""07"", ""08"", ""09"", ""13"", ""18"", ""19"", ""26"", ""27"", ""28"", ""29"", ""30"", ""32"", ""33"", ""36"", ""39"", ""40"", ""42"", ""43"", ""44"", ""45"", ""46"", ""48""]",11805,5951,5854,yes
0,R,validation,8,"[""02"", ""06"", ""10"", ""16"", ""21"", ""38"", ""47"", ""50""]",3990,2009,1981,yes
0,R,test,9,"[""01"", ""04"", ""14"", ""15"", ""20"", ""31"", ""37"", ""41"", ""49""]",4003,1975,2028,yes
0,S,train,24,"[""03"", ""05"", ""07"", ""08"", ""09"", ""13"", ""18"", ""19"", ""26"", ""27"", ""28"", ""29"", ""30"", ""32"", ""33"", ""36"", ""39"", ""40"", ""42"", ""43"", ""44"", ""45"", ""46"", ""48""]",11805,5951,5854,yes
0,S,validation,8,"[""02"", ""06"", ""10"", ""16"", ""21"", ""38"", ""47"", ""50""]",3990,2009,1981,yes
0,S,test,9,"[""01"", ""04"", ""14"", ""15"", ""20"", ""31"", ""37"", ""41"", ""49""]",4003,1975,2028,yes
1,R,train,25,"[""01"", ""04"", ""07"", ""09"", ""13"", ""14"", ""15"", ""19"", ""20"", ""27"", ""28"", ""30"", ""31"", ""32"", ""33"", ""36"", ""37"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""48"", ""49""]",11842,5934,5908,yes
1,R,validation,8,"[""03"", ""05"", ""08"", ""18"", ""26"", ""29"", ""39"", ""46""]",3966,1992,1974,yes
1,R,test,8,"[""02"", ""06"", ""10"", ""16"", ""21"", ""38"", ""47"", ""50""]",3990,2009,1981,yes
1,S,train,25,"[""01"", ""04"", ""07"", ""09"", ""13"", ""14"", ""15"", ""19"", ""20"", ""27"", ""28"", ""30"", ""31"", ""32"", ""33"", ""36"", ""37"", ""40"", ""41"", ""42"", ""43"", ""44"", ""45"", ""48"", ""49""]",11842,5934,5908,yes
1,S,validation,8,"[""03"", ""05"", ""08"", ""18"", ""26"", ""29"", ""39"", ""46""]",3966,1992,1974,yes
1,S,test,8,"[""02"", ""06"", ""10"", ""16"", ""21"", ""38"", ""47"", ""50""]",3990,2009,1981,yes
2,R,train,25,"[""01"", ""02"", ""04"", ""06"", ""07"", ""10"", ""13"", ""14"", ""15"", ""16"", ""19"", ""20"", ""21"", ""30"", ""31"", ""36"", ""37"", ""38"", ""41"", ""42"", ""44"", ""45"", ""47"", ""49"", ""50""]",11862,5966,5896,yes
2,R,validation,8,"[""09"", ""27"", ""28"", ""32"", ""33"", ""40"", ""43"", ""48""]",3970,1977,1993,yes
2,R,test,8,"[""03"", ""05"", ""08"", ""18"", ""26"", ""29"", ""39"", ""46""]",3966,1992,1974,yes
2,S,train,25,"[""01"", ""02"", ""04"", ""06"", ""07"", ""10"", ""13"", ""14"", ""15"", ""16"", ""19"", ""20"", ""21"", ""30"", ""31"", ""36"", ""37"", ""38"", ""41"", ""42"", ""44"", ""45"", ""47"", ""49"", ""50""]",11862,5966,5896,yes
2,S,validation,8,"[""09"", ""27"", ""28"", ""32"", ""33"", ""40"", ""43"", ""48""]",3970,1977,1993,yes
2,S,test,8,"[""03"", ""05"", ""08"", ""18"", ""26"", ""29"", ""39"", ""46""]",3966,1992,1974,yes
3,R,train,25,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""08"", ""10"", ""14"", ""15"", ""16"", ""18"", ""20"", ""21"", ""26"", ""29"", ""31"", ""37"", ""38"", ""39"", ""41"", ""46"", ""47"", ""49"", ""50""]",11959,5976,5983,yes
3,R,validation,8,"[""07"", ""13"", ""19"", ""30"", ""36"", ""42"", ""44"", ""45""]",3869,1982,1887,yes
3,R,test,8,"[""09"", ""27"", ""28"", ""32"", ""33"", ""40"", ""43"", ""48""]",3970,1977,1993,yes
3,S,train,25,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""08"", ""10"", ""14"", ""15"", ""16"", ""18"", ""20"", ""21"", ""26"", ""29"", ""31"", ""37"", ""38"", ""39"", ""41"", ""46"", ""47"", ""49"", ""50""]",11959,5976,5983,yes
3,S,validation,8,"[""07"", ""13"", ""19"", ""30"", ""36"", ""42"", ""44"", ""45""]",3869,1982,1887,yes
3,S,test,8,"[""09"", ""27"", ""28"", ""32"", ""33"", ""40"", ""43"", ""48""]",3970,1977,1993,yes
4,R,train,24,"[""02"", ""03"", ""05"", ""06"", ""08"", ""09"", ""10"", ""16"", ""18"", ""21"", ""26"", ""27"", ""28"", ""29"", ""32"", ""33"", ""38"", ""39"", ""40"", ""43"", ""46"", ""47"", ""48"", ""50""]",11926,5978,5948,yes
4,R,validation,9,"[""01"", ""04"", ""14"", ""15"", ""20"", ""31"", ""37"", ""41"", ""49""]",4003,1975,2028,yes
4,R,test,8,"[""07"", ""13"", ""19"", ""30"", ""36"", ""42"", ""44"", ""45""]",3869,1982,1887,yes
4,S,train,24,"[""02"", ""03"", ""05"", ""06"", ""08"", ""09"", ""10"", ""16"", ""18"", ""21"", ""26"", ""27"", ""28"", ""29"", ""32"", ""33"", ""38"", ""39"", ""40"", ""43"", ""46"", ""47"", ""48"", ""50""]",11926,5978,5948,yes
4,S,validation,9,"[""01"", ""04"", ""14"", ""15"", ""20"", ""31"", ""37"", ""41"", ""49""]",4003,1975,2028,yes
4,S,test,8,"[""07"", ""13"", ""19"", ""30"", ""36"", ""42"", ""44"", ""45""]",3869,1982,1887,yes
