comparison,left,right,classifier,metric,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,f1,-0.0827238049950748,-0.0821496387788981,0.0288761307657245,-0.137444888350031,-0.0235097400899499,0.005,2000,subject,CI excludes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,balanced_accuracy,-0.0130030446009021,-0.0128707218840785,0.0083921611198266,-0.0291391286653205,0.0029337216473583,0.112,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,roc_auc,0.0033000606725392,0.0036738206995898,0.0151376925404568,-0.0265329147239519,0.0332438784304624,0.833,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_R_S,full_fusion/R_S,data2vec_fusion/R_S,svm_rbf,mcc,-0.0442109378881203,-0.0441659500226493,0.0206593543094046,-0.0844631322602291,-0.0054136822607955,0.027,2000,subject,CI excludes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,f1,-0.0623652621360122,-0.0611144860687515,0.0483676719177899,-0.1568540360573063,0.0315633472774533,0.215,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,balanced_accuracy,-0.0102696371039514,-0.0102186734047681,0.0157631219442197,-0.0417382205181922,0.020880492914988,0.493,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,roc_auc,-0.0100265911648739,-0.0099754508004636,0.0180880671286087,-0.0450180981964259,0.0268277490021311,0.578,2000,subject,CI includes zero
full_fusion_vs_hubert_R_S,full_fusion/R_S,hubert/R_S,svm_rbf,mcc,-0.0362137612822579,-0.0359785704350208,0.0373932689654085,-0.1094373201729184,0.0385182168053641,0.319,2000,subject,CI includes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,f1,0.2699896707205542,0.2697698531173165,0.0347513672667893,0.2025207384847775,0.3401283978569255,0.0,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,balanced_accuracy,0.0292533940710467,0.0291954049647785,0.0118206736547571,0.0086753327677778,0.0542380469769046,0.004,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,roc_auc,0.1057492565743687,0.1054667354246169,0.0231994023681154,0.0588438846043272,0.1516790067036943,0.0,2000,subject,CI excludes zero
hubert_vs_classical_R_S,hubert/R_S,classical/R_S,svm_rbf,mcc,0.0685739327587892,0.0686997363774742,0.0260061774573165,0.0214653953148386,0.121693854516072,0.005,2000,subject,CI excludes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,f1,-0.0236540859095786,-0.0248454038367831,0.0309738185586702,-0.0835641575533039,0.0329959279152487,0.437,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,balanced_accuracy,0.010743039476542,0.0105018796315963,0.0079880738379847,-0.0046346516379685,0.0269624552767322,0.186,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,roc_auc,0.0100996451865238,0.0093740454949318,0.011778231773632,-0.0137636159901195,0.0332236817825626,0.436,2000,subject,CI includes zero
full_fusion_vs_data2vec_fusion_S_R,full_fusion/S_R,data2vec_fusion/S_R,svm_rbf,mcc,0.0126941027847242,0.0123970605687425,0.018852843997606,-0.0233501901330493,0.0509937392113754,0.492,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,f1,-0.0661058570356564,-0.0654109761928545,0.025024388633774,-0.1170203403441639,-0.0150970995860957,0.011,2000,subject,CI excludes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,balanced_accuracy,-0.0146795200056407,-0.0144533957817283,0.009424925763888,-0.0350315701647538,0.0017864251476409,0.087,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,roc_auc,-0.0105764401381899,-0.0110710668819512,0.0158269753597984,-0.0441840499405926,0.0182845945470712,0.493,2000,subject,CI includes zero
full_fusion_vs_hubert_S_R,full_fusion/S_R,hubert/S_R,svm_rbf,mcc,-0.0404485592152518,-0.0399609615436984,0.0216395565335611,-0.0839211507451713,-0.0009265884322001,0.044,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,f1,0.3198799413252398,0.3206276774156792,0.0428425088210287,0.2364057065946846,0.4016575440176292,0.0,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,balanced_accuracy,0.058277706949826,0.0583424085235624,0.0128142165276612,0.0352280845231667,0.0857393895164795,0.0,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,roc_auc,0.1306718682132503,0.1306715724300234,0.0248829498174895,0.0819199745139009,0.1771738833220715,0.0,2000,subject,CI excludes zero
hubert_vs_classical_S_R,hubert/S_R,classical/S_R,svm_rbf,mcc,0.1348894783967486,0.1351247133561543,0.0306531214780809,0.0779663079839889,0.1989710591978722,0.0,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,f1,0.3429504087369625,0.3421945548226303,0.0386452081246864,0.2680189723242793,0.4153032035082486,0.0,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,balanced_accuracy,0.0587921153250611,0.0587839921410737,0.0136451021117427,0.0313004537073509,0.0849454588991039,0.0,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,roc_auc,0.044316550716783,0.0442572993026806,0.016118428081961,0.0125525499308677,0.0770245169294325,0.004,2000,subject,CI excludes zero
full_fusion_R_R_vs_R_S,full_fusion/R_R,full_fusion/R_S,svm_rbf,mcc,0.1341944917040472,0.1340965944768729,0.0290330699241542,0.0781501068714273,0.1891136535266719,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,f1,0.2685473865198577,0.2693494971450566,0.0362180484453052,0.196872843786468,0.342164347744285,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,balanced_accuracy,0.0595502798180527,0.0597672421877257,0.01555671257686,0.0290812301913243,0.0913790935328481,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,roc_auc,0.0581346217028314,0.0586693656916338,0.0160581993307873,0.0284213655135847,0.0923031595689051,0.0,2000,subject,CI excludes zero
full_fusion_S_S_vs_S_R,full_fusion/S_S,full_fusion/S_R,svm_rbf,mcc,0.1301810081610832,0.1307295631585502,0.034113508361719,0.0649601320453906,0.2012236095061048,0.0,2000,subject,CI excludes zero
